"Sterbeort","Geburtsort","death place","label","birth place","Sterbedatum"
"http://dbpedia.org/resource/Arar","http://dbpedia.org/resource/Hail","http://dbpedia.org/resource/Arar","Abdullah bin Abdulaziz bin Musa'ed bin Jiluwi Al Saud","http://dbpedia.org/resource/Hail","2015-07-04"
"","","","Kamaka Stillman","",""
"","http://dbpedia.org/resource/Taungoo","?","Khin Myat of Toungoo","http://dbpedia.org/resource/Taungoo",""
"","","Unknown","Lakshmanaa","Hastinapur",""
"","","","Lazar Vuković","","1410-07-12"
"","","","Maha Dewi of Toungoo","",""
"http://dbpedia.org/resource/Inwa","http://dbpedia.org/resource/Taungoo","http://dbpedia.org/resource/Inwa","Min Htwe of Toungoo","http://dbpedia.org/resource/Taungoo",""
"http://dbpedia.org/resource/Taungoo","http://dbpedia.org/resource/History_of_Myanmar","http://dbpedia.org/resource/Taungoo","Minye Kyawswa II of Ava","","1599"
"","","","Muhammadu Maiturare","",""
"","","","Predslava Rurikovna","",""
"http://dbpedia.org/resource/Turin","http://dbpedia.org/resource/Turin","http://dbpedia.org/resource/Turin","Adalberto di Savoia-Genova","http://dbpedia.org/resource/Turin","1982-12-15"
"http://dbpedia.org/resource/Gera","","http://dbpedia.org/resource/Gera","Elise zu Hohenlohe-Langenburg","","1929-03-18"
"http://dbpedia.org/resource/Taungoo","http://dbpedia.org/resource/Taungoo","http://dbpedia.org/resource/Taungoo","Soe Min Hteik-Tin of Toungoo","http://dbpedia.org/resource/Taungoo","1530"
"http://dbpedia.org/resource/Taungoo","http://dbpedia.org/resource/Salin_Township","http://dbpedia.org/resource/Taungoo","Thiri Maha Sanda Dewi of Toungoo","http://dbpedia.org/resource/Salin_Township",""
