"country name(click for destination guides)","capital city","map(click to view map)"
"southamerica continent","&nbsp;","click formap"
"sainthelena","jamestown","click formap"
"saintkitts and nevis","basseterre","clickfor map"
"saintlucia","castries","click formap"
"saintpierre and miquelon","saint-pierre","clickfor map"
"saintvincent and the grenadines","kingstown","clickfor map"
"samoa","apia","click for map"
"sanmarino","san marino","click formap"
"saotome and principe","sao tome","clickfor map"
"saudiarabia","riyadh","click formap"
"senegal","dakar","click for map"
"serbia","belgrade","click for map"
"seychelles","victoria","click formap"
"sierraleone","freetown","click formap"
"singapore","singapore","click formap"
"slovakia","bratislava","click for map"
"slovenia","ljubljana","click for map"
"solomonislands","honiara","clickfor map"
"somalia","mogadishu","click for map"
"southafrica","pretoria","click formap"
"southamerica continent","&nbsp;","click formap"
"southgeorgia and the south sandwich islands","none; grytviken on south georgiais the garrison town","clickfor map"
"southkorea","seoul","click formap"
"spain","madrid","click for map"
"srilanka","colombo","click for map"
"sudan","khartoum","click for map"
"suriname","paramaribo","click for map"
"svalbard","longyearbyen","click for map"
"swaziland","mbabane; note - lobambais the royaland legislative capital","click formap"
"sweden","stockholm","click for map"
"switzerland","bern","click formap"
"syria","damascus","click for map"
