"#","#","Ply","Move","Equity"
"&nbsp;","1","R","24/21","-0.163"
"&nbsp;","&nbsp;","&nbsp;","0.5%&nbsp;&nbsp;11.1%&nbsp;&nbsp;46.1%&nbsp;&nbsp;&nbsp;&nbsp;53.9%&nbsp;&nbsp;15.0%&nbsp;&nbsp; 0.6%","0.5%&nbsp;&nbsp;11.1%&nbsp;&nbsp;46.1%&nbsp;&nbsp;&nbsp;&nbsp;53.9%&nbsp;&nbsp;15.0%&nbsp;&nbsp; 0.6%"
"&nbsp;","&nbsp;","&nbsp;","Live cube rollout: -0.175","Live cube rollout: -0.175"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.117 10.006                  - live cube: -0.175 10.013.               Rollout settings:                  Full rollout                  5184 games (equiv. 173735 games)                  played 3-ply (precise) cube 3-ply                  settlement 0.550 at 16 pts                  random seed with race database.","95% confidence interval:                  - money cubeless eq.: -0.117 10.006                  - live cube: -0.175 10.013.               Rollout settings:                  Full rollout                  5184 games (equiv. 173735 games)                  played 3-ply (precise) cube 3-ply                  settlement 0.550 at 16 pts                  random seed with race database."
"&nbsp;","2","R","13/11 6/5","-0.165 (-0.002)"
"&nbsp;","&nbsp;","&nbsp;","0.5%&nbsp;&nbsp;12.2%&nbsp;&nbsp;46.5%&nbsp;&nbsp;&nbsp;&nbsp;53.5%&nbsp;&nbsp;16.7%&nbsp;&nbsp; 1.2%","0.5%&nbsp;&nbsp;12.2%&nbsp;&nbsp;46.5%&nbsp;&nbsp;&nbsp;&nbsp;53.5%&nbsp;&nbsp;16.7%&nbsp;&nbsp; 1.2%"
"&nbsp;","&nbsp;","&nbsp;","Live cube rollout: -0.185","Live cube rollout: -0.185"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.121 10.007                  - live cube: -0.185 10.014.               Rollout settings:                  Full rollout                  5184 games (equiv. 140411 games)                  played 3-ply (precise) cube 3-ply                  settlement 0.550 at 16 pts                  random seed with race database.","95% confidence interval:                  - money cubeless eq.: -0.121 10.007                  - live cube: -0.185 10.014.               Rollout settings:                  Full rollout                  5184 games (equiv. 140411 games)                  played 3-ply (precise) cube 3-ply                  settlement 0.550 at 16 pts                  random seed with race database."
"&nbsp;","3","R","24/23 13/11","-0.178 (-0.015)"
"&nbsp;","&nbsp;","&nbsp;","0.5%&nbsp;&nbsp;11.7%&nbsp;&nbsp;45.8%&nbsp;&nbsp;&nbsp;&nbsp;54.2%&nbsp;&nbsp;16.0%&nbsp;&nbsp; 0.8%","0.5%&nbsp;&nbsp;11.7%&nbsp;&nbsp;45.8%&nbsp;&nbsp;&nbsp;&nbsp;54.2%&nbsp;&nbsp;16.0%&nbsp;&nbsp; 0.8%"
"&nbsp;","&nbsp;","&nbsp;","Live cube rollout: -0.189","Live cube rollout: -0.189"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.129 10.006                  - live cube: -0.189 10.012.               Rollout settings:                  Full rollout                  5184 games (equiv. 169933 games)                  played 3-ply (precise) cube 3-ply                  settlement 0.550 at 16 pts                  random seed with race database.","95% confidence interval:                  - money cubeless eq.: -0.129 10.006                  - live cube: -0.189 10.012.               Rollout settings:                  Full rollout                  5184 games (equiv. 169933 games)                  played 3-ply (precise) cube 3-ply                  settlement 0.550 at 16 pts                  random seed with race database."
