"company","industry","sales"
"sony / sony pictures","audio & video equipment","$71 bil"
"dell","computer hardware","$47 bil"
"hitachi","electronic equipment","$83 bil"
"hewlett-packard company","diversified computer systems","$78 bil"
"panasonic (matsushita)","electronics","$36 bil"
"pioneer","electronic equipment","$7 bil"
"philips","electronic equipment","$38 bil"
"samsung","electronics","$41 bil"
"metro-goldwyn-mayer inc. (mgm)","move production theaters","$2 bil"
"the walt disney co.","entertainment - diversified","$30 bil"
