"Link from a Wikipage to an external page","Wikipage revision ID","Wikipage page ID","label"
"http://www.picador.com/Books/Burial-Rites","675121502","47098869","Burial Rites"
"http://www.darinstrauss.com","676324193","47473434","Chang & Eng (novel)"
"","","","ChemSusChem"
"","677907540","45592776","Chimica Oggi - Chemistry Today"
"","","45507043","China Misperceived"
"","","47420610","Chinese Chemical Letters"
"","","","Cinemanía"
"","","","Clinical Research in Cardiology"
"","","","Columbia Journal of Environmental Law"
"http://stanford.universitypressscholarship.com/view/10.11126/stanford/9780804789448.001.0001/upso-9780804789448","680061841","45342432","Common Knowledge?: An Ethnography of Wikipedia"
"","","47450044","Complete Sports"
"","","","Complex Age"
"","","47151774","コンクリート・レボルティオ〜超人幻想〜"
"","","","Crimson Shore"
"","678561598","45365623","Cruwsible"
"","","","Current Atherosclerosis Reports"
"http://www.anitanair.net/novels/Cut-Like-Wound/","680986496","47234554","Cut Like Wound"
"","","","Daily Crazy"
"","","47641035","Daily Sindh Express"
"http://dwd-anime.com/","683801742","47432176","Dance with Devils"
