"label","Geburtsdatum","Wikipage page ID","Wikipage revision ID"
"Bence Peter","1991-09-05","47301008","680852297"
"Benjamin Bejbaum","1976-11-20","",""
"Benjamin Bowman","1979-09-20","",""
"Benny Lewis","","46191753","680530262"
"Bernhard Hoëcker","1970-03-20","",""
"Beso Turazashvili","","",""
"Beverly Jenkins","","",""
"Bhakti Arora Manekar","1984-10-30","",""
"Bharat Aggarwal","","",""
"Bhavani Thuraisingham","","46566055","682764765"
"Bianca Atzei","","",""
"Bianca Spriggs","","",""
"Bianca Sánchez","1995","",""
"Biel Ballester","","",""
"Bignic","","46353445",""
"Bill Ottman","1985-11-02","",""
"Bill Winston","","46514247","681615022"
"Billy Riggs","","",""
"Blaccode","","",""
"Blair Tugman","","",""
