"order","surah name and name meaning  the holy quran","chapter-&#1575;&#1604;&#1580;&#1586;&#1569;","verses","page","mp3 files"
"1","al-fatihah ( the opening )","01","7","1","NULL"
"2","al-baqarah ( the cow )","01","286","2","NULL"
"3","al-imran ( the family of imran )","03","200","50","NULL"
"4","an-nisa ( the women )","04","176","77","NULL"
"5","al-maidah ( the table spread with food )","06","120","106","NULL"
"6","al-an'am ( the cattle )","07","165","128","NULL"
"7","al-a'raf (the heights )","08","206","151","NULL"
"8","al-anfal ( the spoils of war )","09","75","177","NULL"
"9","at-taubah ( the repentance )","10","129","187","NULL"
"10","yunus ( jonah )","11","109","208","NULL"
"11","hud ( hud )","11","123","221","NULL"
"12","yusuf (joseph )","12","111","235","NULL"
"13","ar-ra'd ( the thunder )","13","43","249","NULL"
"14","ibrahim ( abraham )","13","52","255","NULL"
"15","al-hijr ( the rocky tract )","14","99","262","NULL"
"16","an-nahl ( the bees )","14","128","267","NULL"
"17","al-isra ( the night journey )","15","111","282","NULL"
"18","al-kahf ( the cave )","15","110","293","NULL"
"19","maryam ( mary )","16","98","305","NULL"
"20","taha","16","135","312","NULL"
"21","al-anbiya ( the prophets )","17","112","322","NULL"
"22","al-hajj ( the pilgrimage )","17","78","332","NULL"
"23","al-mu'minoon ( the believers )","18","118","342","NULL"
"24","an-noor ( the light )","18","64","350","NULL"
"25","al-furqan (the criterion )","18","77","359","NULL"
"26","ash-shuara ( the poets )","19","227","367","NULL"
"27","an-naml (the ants )","19","93","377","NULL"
"28","al-qasas ( the stories )","20","88","385","NULL"
"29","al-ankaboot ( the spider )","20","69","396","NULL"
"30","ar-room ( the romans )","21","60","404","NULL"
"31","luqman","21","34","411","NULL"
"32","as-sajdah ( the prostration )","21","30","415","NULL"
"33","al-ahzab ( the combined forces )","21","73","418","NULL"
"34","saba ( sheba )","22","54","428","NULL"
"35","fatir ( the originator )","22","45","434","NULL"
"36","ya-seen","22","83","440","NULL"
"37","as-saaffat ( those ranges in ranks )","23","182","446","NULL"
"38","sad ( the letter sad )","23","88","453","NULL"
"39","az-zumar ( the groups )","23","75","458","NULL"
"40","ghafir ( the forgiver god )","24","85","467","NULL"
"41","fussilat ( explained in detail )","24","54","477","NULL"
"42","ash-shura (consultation )","25","53","483","NULL"
"43","az-zukhruf ( the gold adornment )","25","89","489","NULL"
