"label","Geburtsort","birth place"
"Antonio Viola","http://dbpedia.org/resource/Potenza","http://dbpedia.org/resource/Potenza"
"Behnam Khalili","http://dbpedia.org/resource/Iran","http://dbpedia.org/resource/Iran"
"Benjamín Prades","http://dbpedia.org/resource/Socuéllamos","http://dbpedia.org/resource/Socuéllamos"
"Bruno Armirail","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France"
"Camillo Bertarelli","",""
"Carlos Mario Ramírez","http://dbpedia.org/resource/Manizales","http://dbpedia.org/resource/Manizales"
"Carlos Urán","http://dbpedia.org/resource/Urrao","http://dbpedia.org/resource/Urrao"
"Christian Mager","http://dbpedia.org/resource/Darmstadt","http://dbpedia.org/resource/Darmstadt"
"Clément Saint-Martin","http://dbpedia.org/resource/Gruchet-le-Valasse","http://dbpedia.org/resource/Gruchet-le-Valasse"
"Daniel Felipe Martinez","",""
"Daniel Hoelgaard","http://dbpedia.org/resource/Stavanger","http://dbpedia.org/resource/Stavanger"
"Daniel Westmattelmann","http://dbpedia.org/resource/Ahlen","http://dbpedia.org/resource/Ahlen"
"Darren Low","http://dbpedia.org/resource/Singapore","http://dbpedia.org/resource/Singapore"
"David Belda","http://dbpedia.org/resource/Cocentaina","http://dbpedia.org/resource/Cocentaina"
"David Muñoz","http://dbpedia.org/resource/Elche","http://dbpedia.org/resource/Elche"
"Delio Fernández","http://dbpedia.org/resource/Moaña","http://dbpedia.org/resource/Moaña"
"Dimitri Claeys","http://dbpedia.org/resource/Sint-Amandsberg","http://dbpedia.org/resource/Sint-Amandsberg"
