"label"
"Patellar ligament"
"Anterior ligament of malleus"
"Anterior longitudinal ligament"
"Fibular collateral ligament"
"Collateral ligament of interphalangeal articulations of hand"
"Superior ligament of incus"
"Hepatorenal ligament"
"Broad ligament of the uterus"
"Supraspinous ligament"
"Posterior auricular ligament"
"Anterior atlantoaxial ligament"
"Anterior sacroiliac ligament"
"Anterior sternoclavicular ligament"
"Anterior talofibular ligament"
"Dorsal radiocarpal ligament"
"Dorsal radioulnar ligament"
"Interosseous talocalcaneal ligament"
"Lateral sacrococcygeal ligament"
"Lateral talocalcaneal ligament"
"Lateral thyrohyoid ligament"
