"reporter-volume","label","page","Wikipage revision ID","reporter","Fullname","Wikipage page ID","majority"
"","Arizona State Legislature v. Arizona Independent Redistricting Commission","","677216532","","","47144587",""
"","California v. Hodari D.","","679190710","","","47324820",""
"","In re Kansas Indians","","674486835","","The Kansas Indians","47413114","Davis"
"","Lucas v. United States","","674800978","","Lucas v. United States","47435169","Shiras"
"","Rodriguez v. United States","","680569564","","","47142323",""
"","Tarble's Case","","675194789","","Tarble's Case","47256244","Field"
"","United States v. Philadelphia Nat'l Bank","","675668878","","","47397450",""
"","Board of Education of the Hendrick Hudson Central School District v. Rowley","","","","","",""
"","Breithaupt v. Abram","","682909631","","","47111841",""
"","Hallinger v. Davis","","683303265","","Hallinger v. Davis","47721607",""
"","Johnson v. United States (2015)","","678994440","","","47090698",""
