"waterbody id","resource name","alt. names","type"
"5963","149th ave (04-08)","NULL","pond"
"18802","17th street park central pond","pond dp3-34","pond"
"18801","17th street park north pond","pond dp3-35","pond"
"972","45th ave ne canal","NULL","stream"
"971","54th ave e canal","placido canal north","stream"
"970","70th ave n canal","NULL","stream"
"5878","a child's place (97-245)","NULL","pond"
"5907","acacia lake shore assoc (98-05)","NULL","pond"
"7048","acenbrack lake","NULL","lake"
"18750","ackerman lake","pond l6-45 ackerman park lake","pond"
"5862","adair's pond (02-14)","NULL","pond"
"109","airport outfall canal","NULL","stream"
"1","alafia river","NULL","stream"
"2","alafia river - north prong","NULL","stream"
"3","alafia river - south prong","NULL","stream"
"4","alafia river - south prong - west branch","NULL","stream"
"161932","alamo lake","NULL","lake"
"5","alderman creek","NULL","stream"
"5075","alice lake","NULL","lake"
"5373","allbright lake","NULL","lake"
"890","allen creek","NULL","stream"
"5046","allen lake","lake ellen","lake"
"7046","allen lake","NULL","lake"
"891","alligator creek","NULL","stream"
"7374","alligator lake","NULL","lake"
"7407","allred pond (04-03)","NULL","pond"
"5960","alonso high school army jrot (04-02)","NULL","pond"
"892","anclote river","NULL","stream"
"20100","anderson lake","NULL","lake"
"92","andrews creek","NULL","stream"
"5876","apollo beach racquet club (98-13)","NULL","pond"
"5772","appaloosa conservation ar (93-025)","NULL","pond"
"6063","april lane pond","NULL","lake"
"5967","arbor hills pond (04-15)","NULL","pond"
"6","archie creek","NULL","stream"
"5144","armistead lake","lake armestead","lake"
"7379","arrow pond","NULL","lake"
"5038","artillery lake","NULL","lake"
"6039","ashley's pond (08-02)","kellingrew","pond"
"6945","avaco lake","NULL","lake"
"6055","avelar creek north (10-01)","NULL","pond"
"160185","avenue pond","NULL","lake"
"5638","avis lake","woodsong way pond","lake"
"5838","avista group (98-02)","NULL","pond"
"6047","azalea lakes #1 (09-02)","NULL","pond"
"6005","azalea lakes (06-13)","azalea trace","pond"
"21000","baker branch","NULL","stream"
"8","baker creek","NULL","stream"
"160778","banana lake","NULL","lake"
"160780","banana north pit","lake stahl","lake"
"160794","banana south pit","little banana lake highland hill lake","lake"
"181983","banana-hancock canal","NULL","stream"
"20102","banjo lake","NULL","lake"
"5640","barbara lake","NULL","lake"
"5941","barrington (06-26)","93-051 (barrington subdivision)","pond"
"5942","barrington homes (06-37)","97-241 (barrington)","pond"
"9","basset branch","NULL","stream"
"5177","bay lake","NULL","lake"
"20105","bay lake","NULL","lake"
"7397","bay pines civic assoc. (07-04)","NULL","pond"
"895","bayou branch","NULL","stream"
"20168","bayou lake","NULL","lake"
"5802","bayport colony phase iii (93-056)","NULL","pond"
"5951","bayport hoa (03-07)","NULL","pond"
"52175","bayshore lake","NULL","lake"
"7378","baywood park (05-06)","baywood lake","pond"
"51118","beacon lake","NULL","lake"
"901","bear creek","NULL","stream"
"7257","beckett lake","NULL","lake"
"896","bee tree branch","NULL","stream"
"5389","behnke lake","campus lake","lake"
"20106","belcher hole","NULL","lake"
"10","bell creek","NULL","stream"
"5898","bell creek hammock (95-192)","NULL","pond"
"5900","bell creek hammock subdiv (94-060)","NULL","pond"
"20107","bell lake","NULL","lake"
"5768","belle meade (99-20)","NULL","pond"
"6982","bellevue lake","NULL","lake"
"78","bellows lake outlet","palm river tampa bypass canal harney creek","stream"
"160655","bentley lake","NULL","lake"
"20175","bernadette lake","NULL","lake"
"6007","beth shields earth force (06-22)","NULL","pond"
"5955","bethania's pond (03-13)","NULL","pond"
"160581","beulah lake","NULL","lake"
"11","big ditch creek","NULL","stream"
"20177","big fish lake","NULL","lake"
"52398","big glenn lake","NULL","lake"
"20108","big lake vienna","NULL","lake"
"181951","bird branch","NULL","stream"
"20110","bird island lakes","NULL","lake"
"5358","bird lake","byrd lake","lake"
"20109","bird lake","NULL","lake"
"20180","bird lake","NULL","lake"
"904","bishop creek","NULL","stream"
"903","bishop creek - north branch","NULL","stream"
"976","bishop creek - south branch","NULL","stream"
"20111","black lake","NULL","lake"
"20150","black lake","NULL","lake"
"5987","black pine (05-10)","NULL","pond"
"161945","black water lake","NULL","lake"
"12","blackwater creek","NULL","stream"
"1000184","blanton lake","NULL","lake"
"160576","blanton lake","NULL","lake"
"5891","bloomingdale (98-26)","NULL","pond"
"5850","bloomingdale east (94-074)","NULL","pond"
"6030","bloomingdale oaks pond people (07-05)","NULL","pond"
"5909","bloomingdale p-q (00-02)","NULL","pond"
"5910","bloomingdale p-q (95-213)","NULL","pond"
"5889","bloomingdale sec d (99-19)","NULL","pond"
"6009","bloomingdale sec h (06-29)","94-059 (bloomingdale sec h)","pond"
"5893","bloomingdale sec w (95-220)","NULL","pond"
"5911","bloomingdale section r (94-084)","NULL","pond"
"5849","bloomingdale west (02-07)","NULL","pond"
"5962","bloomingdale west park (04-06)","NULL","pond"
"7014","blossom lake","NULL","lake"
"5369","blue gill lake","lake gass gass lake","lake"
"5374","blue gill lake","lamps pond","lake"
"7373","blue heron lake","NULL","lake"
"5194","boat lake","boot lake","lake"
"20000","boca ciega bay","NULL","bay"
"11","boca ciega bay watershed","NULL","watershed"
"13","boggy branch","NULL","stream"
"14","boggy creek","NULL","stream"
"21002","boggy creek","NULL","stream"
"21016","boggy creek","NULL","stream"
"978","bonn creek","NULL","stream"
"20166","bonnet lake","NULL","lake"
"160542","bonnet lake (lakeland)","NULL","lake"
"161136","bonny lake (mulberry)","NULL","lake"
"160565","bonny lake (lakeland)","NULL","lake"
"907","booker creek","NULL","stream"
"19650","bowlees creek","NULL","stream"
"5899","boyette oaks (97-239)","NULL","pond"
"5901","boyette springs - parkhurst (11-10)","04-04","pond"
"5904","boyette springs (99-17)","NULL","pond"
"5851","boyette springs rainbridge (02-10)","NULL","pond"
"5902","boyette springs sec a (95-206)","NULL","pond"
"5903","boyette springs veterans pond (06-24)","93-038 (boyette springs sec a)","pond"
"21024","braden river","NULL","stream"
"5886","brandonwood (97-237)","NULL","pond"
"5630","brant lake","lake brandt","lake"
"5946","breckenridge lake","NULL","lake"
"905","briar creek","NULL","stream"
"5916","bristol green (99-06)","NULL","pond"
"15","brooker creek","NULL","stream"
"5806","brooker village (00-08)","NULL","pond"
"5044","brooker lake","NULL","lake"
"7401","brooker's landing (04-05)","NULL","pond"
"5031","brown lake","holly lake browns lake","lake"
"5527","browns lake","NULL","lake"
"1000290","browns lakes","NULL","lake"
"16","brushy creek","NULL","stream"
"6010","brussels boy - pond 2 (06-05)","NULL","pond"
"6011","brussels boy - pond 3 (06-06)","NULL","pond"
"6012","brussels boy - pond 4 (06-07)","NULL","pond"
"5994","bse (06-21)","NULL","pond"
"6038","bshs geoprobe (08-06)","NULL","pond"
"5129","buck lake","lake rowe","lake"
"17","buckhorn creek","NULL","stream"
"20192","buddy lake","NULL","lake"
"21071","buffalo creek","buffalo canal","stream"
"18","bullfrog creek","NULL","stream"
"160564","burbank lake","sarden lake","lake"
"5368","burrell lake","NULL","lake"
"7341","butterfly lake","NULL","lake"
"1000333","butterfly lake","NULL","lake"
"21036","cabbage slough","NULL","stream"
"5064","calm lake","NULL","lake"
"6031","camden st (07-07)","NULL","pond"
"5953","camelot woods (03-09)","NULL","pond"
"5980","camp dorothy thomas lake","NULL","lake"
"20112","camp lake","NULL","lake"
"19","campbell branch","NULL","stream"
"5870","campus hill park pond (10-02)","92-004","pond"
"14491","canal 56-126","moccasin gully","stream"
"7395","canterbury chase (06-16)","NULL","pond"
"160742","canyon lake","NULL","lake"
"20","carlton branch creek","NULL","stream"
"5606","carlton lake","NULL","lake"
"5077","carlton lake","turkey ford lake","lake"
"1002285","carol lake","NULL","lake"
"7396","carriage bay (06-06)","NULL","pond"
"5193","carroll cove lake","NULL","lake"
"6046","carroll grove estates pond (08-16)","NULL","pond"
"5187","carroll lake","NULL","lake"
"5812","carrollton (00-11)","NULL","pond"
"5811","carrollton lakes (00-03)","NULL","pond"
"5839","carrollwood baptist (99-08)","NULL","pond"
"5928","carrollwood cove (01-09)","NULL","pond"
"6062","carrollwood day schl pondering env. (11-06)","NULL","pond"
"5778","carrollwood lakes i (95-177)","NULL","pond"
"5999","carrollwood meadows (06-10)","NULL","pond"
"5922","carrollwood meadows unit (98-33)","NULL","pond"
"5805","carrollwood village iii (95-172)","NULL","pond"
"5842","casa del lago pond (02-06)","NULL","pond"
"5188","casey lake","NULL","lake"
"20113","catfish lake","NULL","lake"
"5099","catherine lake","lake jackson","lake"
"910","cedar creek","NULL","stream"
"21058","cedar creek","NULL","stream"
"5993","cedar creek (05-01)","NULL","pond"
"5779","cedar creek (94-167)","NULL","pond"
"5925","cedar creek (98-14)","NULL","pond"
"6064","cedar cypress court pond","NULL","lake"
"21062","cedar drain","NULL","stream"
"5386","cedar east lake","NULL","lake"
"5855","cedar grove aqueducks (97-247)","NULL","pond"
"21023","cedar hammock creek","NULL","stream"
"5385","cedar lake","cedar lake cedar lake west west cedar lake","lake"
"18752","celery fields pond 3","pond p6-11","pond"
"5982","centennial falcon (05-11)","NULL","pond"
"50791","center lake","NULL","lake"
"5973","central park apts (04-12)","NULL","pond"
"21","channel a","cabbagehead creek","stream"
"197","channel g","NULL","stream"
"5138","chapman lake","chapman north lake","lake"
"5238","chapman lake","lake chapman south","lake"
"5115","charles lake","NULL","lake"
"160563","charles lake","NULL","lake"
"1000404","chasco lake","NULL","lake"
"7251","chautauqua lake","lake bowden","lake"
"6959","chautauqua lake (sutherland)","NULL","lake"
"6036","cherry creek (08-03)","NULL","pond"
"22","chito branch","NULL","stream"
"160883","christina pit","christina lake","lake"
"912","church creek","NULL","stream"
"5137","church lake","lake amelia","lake"
"5199","citrus park lake","NULL","lake"
"7253","citrus lake","NULL","lake"
"966","clam bayou drain","NULL","stream"
"160905","clark lake","NULL","lake"
"161949","clark lake","NULL","lake"
"1002316","clark lake","NULL","lake"
"81","clay gully creek","NULL","stream"
"20198","clear lake","NULL","lake"
"1000428","clear lake","NULL","lake"
"6978","clearview lake","NULL","lake"
"7411","clearview lake (05-05)","NULL","pond"
"20003","clearwater harbor","NULL","bay"
"1000440","clearwater lake","NULL","lake"
"7376","cliff stephens park lake","NULL","lake"
"5804","coachlight pond (11-08)","stewart manor (99-11)","pond"
"120","coastal old tampa bay watershed","NULL","watershed"
"130","coastal pinellas/anclote watershed","NULL","watershed"
"23","cockroach creek","NULL","stream"
"21011","coker creek","NULL","stream"
"5771","cole logan (01-11)","NULL","pond"
"5895","colonial lakes pond lubbers (01-01)","NULL","pond"
"5888","colonial oaks (94-112)","NULL","pond"
"51507","colony lake","NULL","lake"
"181956","colt creek","NULL","stream"
"5342","commiston lake","NULL","lake"
"20114","como lake","NULL","lake"
"1000464","conley lake","NULL","lake"
"7423","constance lake","NULL","lake"
"5330","cool kell lake","NULL","lake"
"14366","cooper creek","NULL","stream"
"14834","cooper creek lake","pond l3-24 south","lake"
"5060","cooper lake","NULL","lake"
"5795","copperfield homeowners (91-05)","NULL","pond"
"21013","corbit branch","NULL","stream"
"5945","cory lake","NULL","lake"
"5819","country crossings (99-21)","NULL","pond"
"5831","country grove (94-116)","NULL","pond"
"5832","country lakes (10-03)","97-233","pond"
"161912","country oaks lake","county oaks country oak lake","lake"
