"Wikipage revision ID","label","Link from a Wikipage to an external page","class","Wikipage page ID"
"664974491","Ducati Mach 1","http://ducati.com/history/60s/mach_1/index.do","http://dbpedia.org/resource/Types_of_motorcycles","12910267"
"580583018","Honda XLV750R","","http://dbpedia.org/resource/Dual-sport_motorcycle","13243969"
"678780167","Honda XR650L","http://www.honda-museum.com/honda-xr650l/","http://dbpedia.org/resource/Dual-sport_motorcycle","12939427"
"671205158","Sabre V4","http://www.europark.com/ny-reslt/ny-r2001/ny-r2001.htm","","12971576"
"666477541","Suzuki TS50X","","Moped","13347179"
"","Yamaha Lagenda series","","",""
"","Peugeot Ludix","","",""
"638940651","九七式側車付自動二輪車","","","15812454"
"593232474","Ducati 65T","","http://dbpedia.org/resource/Types_of_motorcycles","22367261"
"669719665","Hero Karizma","http://m.overdrive.in/news/hero-unveils-new-karizma-and-zmr-in-india/","","41222030"
"669406556","Suzuki LT125D","","","44855661"
"551564350","BSA M33-10","","","29422647"
"599205751","Triumph Daytona 600 / 650","","http://dbpedia.org/resource/Sport_bike","14179392"
"681028713","آر 1200 سي","","","7146788"
"680832338","بي إم دبليو آر 1200 آر تي","http://www.bmw-motorrad.com/com/en/bikes/tour/r1200rt/r1200rt_main.html","","7064873"
"666126194","BMW R1200S","","","44821348"
"658763087","بي إم دبليو آر 1200 اس تي","http://www.bmw-motorrad.com/com/en/bikes/tour/r1200st/r1200st_main.html","","38725074"
"604429559","Honda CB500T","","","1129283"
"667724887","هوندا سي بي 500 توين","","","11990266"
"679284921","Kawasaki 750 H2","","","28540730"
