"birth place","label","Geburtsort"
"","Aaron Peskin",""
"","Aastha Bhajan TV",""
"Bahrain","Abbas Al Omran",""
"","Abbas Almosawi",""
"","Abbey Rangers F.C.",""
"Karachi","Abdullah Niazi Qawwal",""
"","Abe Issa",""
"","Abigail's Ghost",""
"","Abigail Budak",""
"http://dbpedia.org/resource/New_Orleans","Abigail Duhon","http://dbpedia.org/resource/New_Orleans"
"http://dbpedia.org/resource/Panama","Abner Benaim","http://dbpedia.org/resource/Panama"
"","Abu Dhabi Fund for Development",""
"","Abu Dhabi National Insurance Company",""
"","Abu Dhabi Tourism & Culture Authority",""
"","Abunayyan Holding",""
"","Academic Chess",""
"","Academy 360",""
