"waterbody id","resource name","alt. names","type"
"140062","adair lake","NULL","lake"
"151860","adam lake","NULL","lake"
"140063","addah lake","NULL","lake"
"144064","adeline lake","NULL","lake"
"140064","alden lake","NULL","lake"
"140066","alma lake","NULL","lake"
"140067","almond tree lake","NULL","lake"
"140068","alpharetta lake","NULL","lake"
"143197","americana canal","NULL","stream"
"140070","anderson lake","NULL","lake"
"140071","angel lake","NULL","lake"
"140072","angelina lake","NULL","lake"
"140073","annie lake","NULL","lake"
"140074","annie lake","NULL","lake"
"140000","apache lake","NULL","lake"
"1101","apopka beauclair canal","NULL","stream"
"7800","apopka lake","","lake"
"151866","arcadia lake","NULL","lake"
"140077","arlie lake","NULL","lake"
"140078","arnold lake","NULL","lake"
"151846","arrowhead lake","NULL","lake"
"140079","asbury lake","NULL","lake"
"140080","audie lake","NULL","lake"
"140081","austin lake","NULL","lake"
"140083","avalon lake","NULL","lake"
"131643","azalea park outfall canal","NULL","stream"
"140084","azalea lake","NULL","lake"
"140085","baldwin lake","lake corrine","lake"
"140050","bali hai lagoon","NULL","lake"
"140002","banana bay","NULL","lake"
"151858","barbett lake","NULL","lake"
"140087","barlow lake","NULL","lake"
"146185","bartho lake","NULL","lake"
"140089","barton lake","NULL","lake"
"140003","bass lake","NULL","lake"
"140005","bay lake","NULL","lake"
"140553","bay lake","NULL","lake"
"142898","bear bay","NULL","lake"
"150508","bear bay","NULL","lake"
"140090","beardall lake","lake bearball","lake"
"140006","bearhead lake","bear head lake","lake"
"7953","beauclair lake","NULL","lake"
"140092","beauty lake","NULL","lake"
"140093","bell lake","NULL","lake"
"140094","bennet lake","lake blanchard","lake"
"140095","berge lake","NULL","lake"
"140096","berry lake","NULL","lake"
"140097","bessie lake","NULL","lake"
"151857","bessye lake","NULL","lake"
"144120","beth lake","NULL","lake"
"140099","betty lake","NULL","lake"
"140100","beulah lake","NULL","lake"
"1","big econ watershed","NULL","watershed"
"140008","big sand lake","NULL","lake"
"140009","black lake","NULL","lake"
"140101","blanche lake","NULL","lake"
"140102","blanche lake","NULL","lake"
"140010","blue lake","NULL","lake"
"140012","bluebird pond","NULL","lake"
"130001","boggy creek","NULL","stream"
"150381","boggy creek swamp","NULL","lake"
"2","boggy creek watershed","NULL","watershed"
"135266","bonnet creek","NULL","stream"
"140103","bonnet lake","NULL","lake"
"140011","boo boo's lake","NULL","lake"
"144640","boot lake","NULL","lake"
