"tree  number","botanical name","afrikaanse naam","english name","origin"
"x58","abies concolor","witden","white fir","n.amer"
"x59","abies magnifica","rooiden","red fir","n.amer"
"x60","abies nordmanniana","kaukasiese den","caucasian fir","turkey iran"
"x61","abies pinsapo","spaanse den","spanish fir","spain"
"x62","abies procera","edelden","noble fir","n.amer"
"x486","acacia acuminata","frambosewattel","raspberry wattle","aust"
"x487","acacia baileyana","bailey-se-wattel","bailey's wattle","aust"
"x488","acacia cultriformis","mesblaarwattel","knife-leaved wattle","aust"
"x489","acacia cyclops","rooikrans","red eye","aust"
"x490","acacia dealbata","silwerwattel","silver wattle","aust"
"x491","acacia decurrens","groenwattel","green wattle","aust"
"x492","acacia floribunda","spinnerakwattel","gossamer wattle","aust"
"x493","acacia longifolia","bleekwattel","sallow wattle","aust"
"x494","acacia mearnsii","swartwattel","black wattle","aust"
"x495","acacia melanoxylon","swarthout","blackwood","aust"
"x496","acacia pendula","treurwattel","weeping myall","aust"
"x497","acacia podalyriifolia","vaalmimosa","pearl acacia","aust"
"x498","acacia pycnantha","gouewattel","golden wattle","aust"
"x499","acacia saligna","goudwilger","port jackson willow","aust"
"x500","acacia terminalis","peperboomwattel","peppertree wattle","aust"
"x658","acer buergerianum","chinese ahorn","chinese maple","china"
"x659","acer campestre","veldahorn","field maple","eur turk iran"
"x660","acer circinatum","wingerdahorn","vine maple","n amer"
"x661","acer negundo","essenblaarahorn","ash-leaved maple","n &amp; c amer"
"x662","acer palmatum","japanse ahorn","japanese maple","japan china"
"x663","acer platanoides","noorse ahorn","norway maple","eur turk iran"
"x664","acer pseudo-platanus","valsplataan","sycamore maple","eur asia"
"x665","acer saccharinum","witahorn","white maple","n amer"
"x131","acoelorrhaphe wrightii","silwersaagblaarpalmetto","silver saw palm","c.amer"
"x539","acrocarpus fraxinifolius","dakspaanboom","shingle tree","india burma"
"x222","acrocomia aculeata","dominikaanse ghroeghroepalm","dominican grugru palm","domin"
"x223","acrocomia mexicana","mexikaanse ghroeghroepalm","mexican grugru palm'","mex"
"x667","aesculus hippocastanum","gewone perdekastaiing","common horse-chestnut","se eur"
"x668","aesculus indica","indiese perdekastaiing","indian horse-chestnut","himal"
