"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Stockholm","Amanda Zahui B.","http://dbpedia.org/resource/Stockholm"
"","Amarilli Nizza",""
"","Amber Kirk-Ford",""
"","Ambroise Abdo",""
"http://dbpedia.org/resource/Rehovot","Amir Alexander","http://dbpedia.org/resource/Rehovot"
"Singapore","余澎杉",""
"","Amrit Maghera",""
"","Amy Williams (Neighbours)",""
"Bacolod City","Analyn Barro","http://dbpedia.org/resource/Leyte"
"http://dbpedia.org/resource/Chennai","Ananda Shankar Jayant","http://dbpedia.org/resource/Chennai"
"http://dbpedia.org/resource/Azerbaijan","Anar Alizada","http://dbpedia.org/resource/Azerbaijan"
"","Anastasia Lin",""
"","Anders Hvenare",""
"","Anderson East","http://dbpedia.org/resource/Alabama"
"","Andra Day",""
"","Andre Foxxe",""
