"Geburtsdatum","Geburtsort","label","birth place"
"1984-07-31","http://dbpedia.org/resource/Jammu","Junaid Sheikh","http://dbpedia.org/resource/Jammu"
"1933-06-16","","June Harwood",""
"","http://dbpedia.org/resource/Iwate_Prefecture","戸塚純貴","http://dbpedia.org/resource/Iwate_Prefecture"
"1986-03-10","","Justin Kauflin",""
"","","Justin Newcombe",""
"","http://dbpedia.org/resource/Cobar","Justin Sampson",""
"","http://dbpedia.org/resource/Rouen","Jérémy Marie","http://dbpedia.org/resource/Rouen"
"","http://dbpedia.org/resource/Zürich","Jörg Schneider (Schauspieler)",""
"1956-05-07","http://dbpedia.org/resource/Bangladesh","K.M. Akhtaruzzaman",""
"1970","http://dbpedia.org/resource/Hong_Kong_people","Kacey Wong","Hong Kong"
"","","Kai Schumacher",""
"1978-01-13","http://dbpedia.org/resource/Katowice","Kaja Renkas","http://dbpedia.org/resource/Katowice"
