"Country","University","Language"
"Austria","Karl                   Franzens Universitat Graz","English                   and German"
"France","Universit&eacute; Jean Moulin","French"
"France","Universit&eacute;                   Catholique de l'Ouest","French"
"France","Universit&eacute; de Strasbourg","French"
"Germany","Ruhr                   University Bochum","German"
"Germany","University of Bonn","German"
"Germany","University                   of Leipzig","German"
"Germany","University                   of Stuttgart","German"
"Mexico","Centro de Investigacion y Docencia Economicas (CIDE)","Spanish"
"Portugal","University of Coimbra","Portuguese"
"Romania","Alexandru Ioan Cuza University","Romanian"
"Spain","Universidad                   Autonoma de Madrid","Spanish"
"Spain","Universidad                   Complutense de Madrid","Spanish"
"Switzerland","University                   of Basel","German"
