"COUNTRY","CURRENCY","ABREVIATION","SUB-CURRENCY"
"Haiti","gourde","G","100 centimes"
"Heard and McDonald Islands","see Australia","&nbsp;","&nbsp;"
"Honduras","lempira","L","100 centavos"
"Hong Kong","dollar","HK$","100 cents"
"Hungary","forint","Ft","none"
"Iceland","kr?na","Ikr","100 aurar (sing. aur)"
"India","rupee","Rs","100 paise"
"Indonesia","rupiah","Rp","100 sen (not used)"
"Iran","rial","Rls","10 rials = 1 toman"
"Iraq","dinar","ID","1000 fils"
"Ireland","see European Union","&nbsp;","&nbsp;"
"Isle of Man","see United Kingdom","&nbsp;","&nbsp;"
"Israel","new shekel","NIS","100 new agorot (sing. agora)"
"Italy","see European Union","&nbsp;","&nbsp;"
"Ivory Coast","see C?te d'Ivoire","&nbsp;","&nbsp;"
"Jamaica","dollar","J$","100 cents"
"Japan","yen","?","100 sen (not used)"
"Jersey","see United Kingdom","&nbsp;","&nbsp;"
"Johnston Island","see United States","&nbsp;","&nbsp;"
"Jordan","dinar","JD","1000 fils"
