"affiliationsort","affiliationsort","type","members","season meters   sort","meters/member sort"
"1","age without limits","virtual","505","619210159","1226159"
"2","free spirits","virtual","530","350805515","661897"
"3","rowpro rowers","virtual","242","169461028","700252"
"4","luna-tics","virtual","130","128536519","988742"
"5","ancient mariners - the ancients organization (tao)","virtual","49","121525199","2480106"
"6","greenville indoor rowing","club_health","205","89162510","434939"
"7","sub-7 irc (please contact jef rod or dougie for membership)","virtual","95","88860194","935370"
"8","forum flyers","virtual","71","75842505","1068204"
"9","ducks in a row","virtual","101","58790416","582083"
"10","empty the tanks","virtual","76","52826177","695081"
"11","team canada","virtual","92","49154127","534284"
"12","timbuktu - the ancients organization (tao)","virtual","21","46934119","2234958"
"13","the eh! team","virtual","56","40004854","714372"
"14","halifax rowing association daytona beach fl","club_rowing","36","39153666","1087602"
"15","spa misfits","virtual","29","35065368","1209151"
"16","iron oarsman","virtual","52","35002272","673121"
"17","timbuktoo","virtual","50","34827151","696543"
"18","baltimore rowing club","club_rowing","53","34203117","645342"
"19","arizona outlaws","virtual","49","32520051","663675"
"20","massachusetts institute of technology","university","41","31303650","763504"
"21","million meter vikings","virtual","34","30140058","886472"
"22","saratoga rowing association","club_rowing","43","29095843","676648"
"23","community rowing inc.","club_rowing","89","25274081","283978"
"24","detroit boat club","club_rowing","47","25240946","537041"
"25","team oarsome irc","virtual","27","24551442","909313"
"26","tasmania - the ancients organization (tao)","virtual","25","24378075","975123"
"27","bootshaus indoor rowing studio affalterbach (ger)","club_health","70","24365394","348077"
"28","c2tweetcrew.com","virtual","38","24285413","639090"
"29","ann arbor rowing club","club_rowing","57","22933392","402340"
"30","ergfit","club_health","257","22551233","87748"
"31","indianapolis rowing center","club_rowing","30","22194219","739807"
"32","first in fitness montpelier vt","club_health","33","20916672","633839"
"33","pennsylvania state university","university","51","20300503","398049"
"34","university of michigan","university","34","20170113","593239"
"35","move your body asten the netherlands","club_health","84","20149449","239874"
"36","georgetown university","university","54","19979493","369991"
"37","paddy power irc","virtual","11","19555126","1777739"
"38","st. catharines rowing club   st.catharines ontario","club_rowing","43","19425216","451749"
"39","dutch rowpros","virtual","28","19120067","682860"
"40","havk mladost croatian rowing club","club_rowing","89","18765925","210853"
"41","university of pennsylvania","university","23","18758257","815576"
"42","university of virginia","university","24","18426833","767785"
"43","riverside boat club","club_rowing","42","17861501","425274"
"44","united states naval academy","military","26","17817390","685284"
"45","shosholoza","virtual","26","17655018","679039"
"46","stanford university","university","30","17646159","588205"
"47","western reserve rowing association","club_rowing","42","17504487","416774"
"48","dittons skiff & punting club","club_rowing","51","17015478","333637"
"49","u. s. navy","military","21","16923270","805870"
"50","taff attack racing","virtual","30","16921854","564062"
"51","scotland the wave","virtual","26","16294616","626716"
"52","cornell university","university","31","16058037","518001"
"53","ariel toy","virtual","28","15810636","564666"
"54","washington state university","university","9","15799487","1755499"
"55","highveld yacht club","virtual","8","15662041","1957755"
"56","amoskeag rowing club","club_rowing","14","15509103","1107793"
"57","willamette rowing club","club_rowing","27","15350864","568551"
"58","u.s. marines","military","22","14827269","673967"
"59","marin rowing association","club_rowing","30","14610844","487028"
"60","nashville rowing club","club_rowing","23","14552663","632724"
"61","lake lanier rowing club","club_rowing","24","14359171","598299"
"62","university of massachusetts amherst","university","29","13976847","481960"
"63","sas rfc","club_health","24","13578111","565755"
"64","concept2 inc morrisville vt","club_health","26","13419168","516122"
"65","long beach rowing association","club_rowing","23","13244471","575847"
"66","prince william rowing club","club_rowing","38","13010792","342389"
"67","university of new mexico","virtual","22","12975606","589800"
"68","w.i.s.e. (welshirishscotsenglish)","virtual","15","12890459","859364"
"69","colets hampton court","club_health","97","12885272","132838"
"70","tierra del fuego - the ancients organization (tao)","virtual","7","12552169","1793167"
"71","university of notre dame","university","19","12123999","638105"
"72","motley crew bethlehem pa","club_health","14","12027378","859098"
"73","everett rowing association","club_rowing","29","11852074","408692"
"74","clemson university","university","66","11780237","178488"
"75","nereid boat club","club_rowing","24","11609403","483725"
"76","university of vermont","university","20","11582412","579121"
"77","usc","university","24","11494195","478925"
"78","potomac boat club","club_rowing","38","11456041","301475"
"79","row & fitness monterey mexico","club_health","20","11402697","570135"
"80","riverfront recapture","club_rowing","20","11224714","561236"
"81","wilmington rowing center","club_rowing","33","11208504","339652"
"82","prairieland strokers","virtual","28","11169084","398896"
"83","island rowing club st joseph island ontario","club_rowing","5","11085573","2217115"
"84","austin rowing club","club_rowing","26","10752350","413552"
"85","purdue university","university","27","10498685","388840"
"86","n.f.r.c.","virtual","4","10495854","2623964"
"87","east arm rowing club","club_rowing","24","10172912","423871"
"88","upper valley rowing foundation","club_rowing","27","10158952","376257"
"89","east end rowing institute","club_rowing","13","10049596","773046"
"90","alexandria community rowing","club_rowing","32","9917343","309917"
"91","avesta roddklubb","club_rowing","11","9794983","890453"
"92","williams college","university","31","9734086","314003"
"93","the ohio state university","university","12","9633375","802781"
"94","carnegie lake rowing association","club_rowing","18","9535211","529734"
"95","lake union crew","club_rowing","54","9504116","176002"
"96","passaic river rowing association","club_rowing","24","9494172","395591"
"97","tallahassee rowing club","club_rowing","20","9477137","473857"
"98","station l rowing club","club_rowing","35","9468073","270516"
"99","vanderbilt university","university","20","9410461","470523"
"100","worcester polytechnic institute","university","24","9228266","384511"
"101","university at albany","university","27","9197161","340636"
"102","atlanta rowing club","club_rowing","9","9148815","1016535"
"103","university of chicago","university","13","8877218","682863"
"104","sammamish rowing","club_rowing","28","8725754","311634"
"105","rocky mountain rowing club","club_rowing","16","8703914","543995"
