"Country","Currency","Country","Currency"
"Austria","Euro","Malaysia","Malaysian Ringgit"
"Australia","Australian Dollar","Monaco","Euro"
"Belarus","Belarussian Rouble","Morocco*","Moroccan Dirham"
"Belgium","Euro","Netherlands","Euro"
"Cambodia","Cambodian Riel","New Zealand","New Zealand Dollar"
"Canada","Canadian Dollar","Norway","Norwegian Krone"
"China","Chinese Renminbi","Peru","Nuevo Sol"
"Croatia","Kuna and Croatian Dinar","Poland","Zloty"
"Czech Republic","Czech Koruna","Romania","Romanian Leu"
"Denmark","Danish Krone","Russia","Russian Rouble"
"Egypt","Egyptian Pound","Singapore","Singapore Dollar"
"Estonia","Euro","Slovakia","Euro"
"Finland","Euro","Slovenia","Euro"
"France","Euro","South Africa","South African Rand"
"Germany","Euro","Spain","Euro"
"Greece","Euro","Sweden","Swedish Krona"
"Hungary","Forint","Switzerland","Swiss Franc"
"Ireland","Euro","Thailand","Thai Baht"
"Italy","Euro","Turkey","Turkish Lira"
"India*","Indian Rupee","Ukraine","Ukrainian Grivna"
"Japan","Japanese Yen","USA","US Dollar"
"Latvia","Lat","Vietnam","Vietnamese Dong"
"Luxembourg","Euro","NULL","NULL"
