"refnum","stnid","net_id","description"
"1","01002","sa","grahuken"
"2","01003","sa","hornsund"
"3","01006","sa","edgeoya"
"4","01007","sa","ny alesund"
"5","01009","sa","phippsoya"
"6","01011","sa","kvitoya"
"7","01015","sa","hekkingen fyr"
"8","01016","sa","senja-grasmyrskogen"
"9","01026","sa","tromso"
"10","01033","sa","torsvag fyr"
"11","01034","sa","fugloykalven fyr"
"12","01035","sa","oteren"
"13","01041","sa","nodreisa-oyeng"
"14","01043","sa","loppa"
"15","01045","sa","nordstraum i kvaenangen"
"16","01051","sa","suolovuopmi"
"17","01055","sa","fruholmen fyr"
"18","01057","sa","cuovddatmohkki"
"19","01065","sa","karasjok"
"20","01066","sa","helnes fyr"
"21","01075","sa","rustefjelbma"
"22","01078","sa","sletnes fyr"
"23","01092","sa","makkaur fyr"
"24","01098","sa","vardo"
"25","01102","sa","sklinna fyr"
"26","01103","sa","leka"
"27","01106","sa","rost ii"
"28","01108","sa","vega-vallsjo"
"29","01110","sa","ytterholmen fyr"
"30","01115","sa","myken"
"31","01121","sa","nord-solvaer"
"32","01134","sa","majavatn iii"
"33","01137","sa","stott"
"34","01138","sa","tennholmen fyr"
"35","01147","sa","susendal-bjormo"
"36","01149","sa","rana-basmoen"
"37","01154","sa","litloy fyr"
"38","01155","sa","bo i vesteralen ii"
"39","01160","sa","skrova fyr"
"40","01167","sa","sortland"
"41","01169","sa","saltdal"
"42","01172","sa","finnoy i hamaroy"
"43","01193","sa","narvik / framnes"
"44","01196","sa","tennevoll"
"45","01199","sa","sihcajavri"
"46","01203","sa","krakenes"
"47","01205","sa","svinoy fyr"
"48","01212","sa","ona ii"
"49","01218","sa","tafjord"
"50","01224","sa","skalmen fyr"
"51","01227","sa","tingvoll-hanem"
"52","01228","sa","sula"
"53","01231","sa","lesjaskog"
"54","01232","sa","vinjeora ii"
"55","01237","sa","fokstua ii"
"56","01238","sa","fokstua ii"
"57","01240","sa","halten fyr"
"58","01245","sa","oppdal-bjorke"
"59","01252","sa","berkak-lyngholt"
"60","01259","sa","buholmrasa fyr"
"61","01262","sa","nordoyan fyr"
"62","01265","sa","tynset ii"
"63","01274","sa","selbu-stubbe"
"64","01277","sa","steinkjer"
"65","01278","sa","verdal-reppe"
"66","01280","sa","namdalseid"
"67","01288","sa","roros"
"68","01292","sa","maraker-utsyn"
"69","01298","sa","nordli-holand"
"70","01304","sa","ytteroyane fyr"
"71","01306","sa","hellisoy fyr"
"72","01317","sa","bergen / florida"
"73","01319","sa","takle"
"74","01321","sa","stryn"
"75","01322","sa","forde-tefre"
"76","01323","sa","forde / bringelandsasen"
"77","01325","sa","modalen ii"
"78","01328","sa","kvamskogen"
"79","01330","sa","omastrand"
"80","01338","sa","vangsnes"
"81","01341","sa","eidfjord-bu"
"82","01344","sa","reimegrend"
"83","01350","sa","finsevatn"
"84","01355","sa","laerdal-tonjum"
"85","01357","sa","fortun"
"86","01360","sa","brata"
"87","01364","sa","geilo-geilostolen"
"88","01366","sa","sognefjell"
"89","01367","sa","fagernes"
"90","01370","sa","skabu-storslaen"
"91","01372","sa","nesbyen-skoglund"
"92","01374","sa","vest-torpa ii"
"93","01375","sa","kvitfjell"
"94","01378","sa","lillehammer-saetherengen"
"95","01379","sa","sor-nesset"
"96","01380","sa","venabu"
"97","01383","sa","evenstad-overenget"
"98","01389","sa","haugedalshogda"
"99","01391","sa","flisa"
"100","01393","sa","drevsjo"
"101","01397","sa","trysil vegstasjon"
"102","01400","sa","ekofisk"
"103","01400","ua","ekofisk"
"104","01403","sa","utsira fyr"
"105","01406","sa","slatteroy fyr"
"106","01412","sa","obrestad"
"107","01417","sa","nedre vats"
"108","01423","sa","fister-tonnevik"
"109","01424","sa","sauda"
"110","01425","sa","ualand-bjuland"
"111","01426","sa","lista fyr"
"112","01427","sa","lista fyr"
"113","01432","sa","sirdal-tjorhom"
"114","01433","sa","midtlaeger"
"115","01434","sa","vaagsli"
"116","01436","sa","lindesnes fyr"
"117","01439","sa","konsmo-hoyland"
"118","01441","sa","hovden-lundane"
"119","01442","sa","byglandsfjord-solbakken"
"120","01446","sa","oyfjell-trovatn"
"121","01448","sa","oksoy fyr"
"122","01450","sa","mosstrand ii"
"123","01453","sa","kristiansand / kjevik"
"124","01455","sa","tveitsund"
"125","01459","sa","nelaug"
"126","01465","sa","torungen fyr"
"127","01467","sa","lyngor fyr"
"128","01474","sa","lyngdal i numedal"
"129","01476","sa","jomfruland fyr"
"130","01477","sa","kongsberg iv"
"131","01482","sa","ferder fyr"
"132","01490","sa","tryvasshogda ii"
"133","01492","sa","oslo-blindern"
"134","01495","sa","stromtangen fyr"
"135","01496","sa","holand-loken"
"136","01497","sa","prestebakke"
"137","01498","sa","magnor"
"138","02012","sa","ritsem"
"139","02020","sa","katterjakk"
"140","02022","sa","abisko"
"141","02032","sa","tornetrask lake"
"142","02036","sa","nikkaluokta"
"143","02043","sa","esrange"
"144","02045","sa","kiruna geofysiska"
"145","02080","sa","karesuando"
"146","02096","sa","pajala"
"147","02103","sa","hemavan-skorvfjallet"
"148","02104","sa","hemavan"
"149","02105","sa","abelvattnet"
"150","02118","sa","dikanas-skansnas"
"151","02120","sa","kvikkjokk"
"152","02124","sa","arjeplog"
"153","02141","sa","tjakaape"
"154","02143","sa","paljamyren"
"155","02145","sa","tellejaur"
"156","02159","sa","fallfors"
"157","02160","sa","nattavaara"
"158","02169","sa","heden"
"159","02171","sa","boden"
"160","02176","sa","ronnskar"
"161","02181","sa","svartbyn"
"162","02183","sa","lulea sol"
"163","02185","sa","lulea / kallax"
"164","02185","ua","lulea / kallax"
"165","02188","sa","rodkallen"
"166","02196","sa","haparanda"
"167","02206","sa","storlien-visjovalen"
"168","02209","sa","sylarna"
"169","02215","sa","areskutan"
"170","02221","sa","korsvattnet"
"171","02222","sa","gaddede"
"172","02229","sa","ostersund sol"
"173","02244","sa","junsele"
"174","02245","sa","vilhelmina"
"175","02247","sa","krangede"
"176","02248","sa","krangede"
"177","02269","sa","skagsudde"
"178","02274","sa","vindeln"
"179","02283","sa","umea robacksdalen"
"180","02284","sa","jarnasklubb"
"181","02288","sa","holmogadd"
"182","02296","sa","bjuroklubb"
"183","02307","sa","idre"
"184","02308","sa","tannas"
"185","02316","sa","sarna"
"186","02318","sa","tandadalen"
"187","02323","sa","klovsjo"
"188","02324","sa","sveg"
"189","02338","sa","edsbyn"
"190","02355","sa","kuggoren"
"191","02365","sa","sundvall-harnlsand flygplats"
"192","02365","ua","sundvall-harnlsand flygplats"
"193","02368","sa","bramon"
"194","02382","sa","lungo"
"195","02400","sa","ostmark"
"196","02408","sa","blomskog"
"197","02410","sa","malung"
"198","02415","sa","karlstad sol"
"199","02417","sa","naven"
"200","02424","sa","stalldalen"
"201","02432","sa","orebro"
"202","02433","sa","falun"
"203","02450","sa","eggegrund"
"204","02453","sa","gavle"
"205","02456","sa","films kyrkby"
"206","02476","sa","floda"
"207","02483","sa","stockholm kth"
"208","02485","sa","stockholm / observatoriet"
"209","02487","sa","stavsnas"
"210","02488","sa","orskar"
"211","02489","sa","harsfjarden"
"212","02496","sa","svenska hogarna"
"213","02499","sa","almagrundet"
"214","02500","sa","nordkoster"
"215","02501","sa","vaderoarna"
"216","02505","sa","maseskar"
"217","02508","sa","maseskar light house"
"218","02513","sa","goteborg"
"219","02516","sa","vinga"
"220","02517","sa","trubaduren"
"221","02518","sa","nidingen"
"222","02519","sa","ringhals"
"223","02527","sa","goteborg / landvetter"
"224","02527","ua","goteborg / landvetter"
"225","02536","sa","rangedala"
"226","02545","sa","axstal"
"227","02564","sa","malexander"
"228","02566","sa","malilla"
"229","02567","sa","landsort"
"230","02569","sa","stavsjo"
"231","02574","sa","smhi"
"232","02575","sa","olands norra udde"
"233","02583","sa","gustaf dalen"
"234","02584","sa","gotska sandon"
"235","02586","sa","harstena"
"236","02599","sa","nasudden"
"237","02605","sa","hallands vadero"
"238","02606","sa","kullen"
"239","02611","sa","helsingborg"
"240","02614","sa","oskarsgrundet"
"241","02616","sa","falsterbo"
"242","02620","sa","torup"
"243","02625","sa","skillinge"
"244","02626","sa","osby"
"245","02627","sa","lund lth"
"246","02628","sa","hano"
"247","02635","sa","malmo"
"248","02644","sa","olands sodra udde"
"249","02666","sa","ungskar"
"250","02668","sa","kungsholms fort"
"251","02670","sa","kalmar flygplats"
"252","02680","sa","hoburg"
"253","02681","sa","vreta kloster"
"254","02685","sa","olands sodra grund"
"255","02801","sa","kilpisjarvi"
"256","02805","sa","kevo"
"257","02823","sa","muonio"
"258","02848","sa","salla"
"259","02863","sa","kemi i"
"260","02901","sa","masskar"
"261","02905","sa","nivala"
"262","02907","sa","ulkokalla"
"263","02910","sa","valassaaret"
"264","02912","sa","vaasa"
"265","02919","sa","ilomantsi"
"266","02921","sa","moikipaa"
"267","02942","sa","niinisalo"
"268","02958","sa","lappeenranta"
"269","02961","sa","kuuskajaskari"
"270","02963","sa","jokioinen"
"271","02963","ua","jokioinen"
"272","02965","sa","lahti"
"273","02971","sa","jomala"
"274","02973","sa","suomusjarvi"
"275","02976","sa","rankki"
"276","02980","sa","nyhamn"
"277","02981","sa","uto"
"278","02982","sa","russaro"
"279","02984","sa","bagaskar"
"280","02987","sa","kallbadagrund"
"281","02988","sa","isosaari"
"282","02990","sa","kumlinge"
"283","02993","sa","market"
"284","03001","sa","muckle flugga"
"285","03002","sa","baltasound"
"286","03005","sa","lerwick"
"287","03005","ua","lerwick"
"288","03006","sa","sella ness"
"289","03007","sa","muckle holm"
"290","03008","sa","fair isle"
"291","03009","sa","north ronaldsay"
"292","03010","sa","sule skerry"
"293","03011","sa","north rona"
"294","03013","sa","foula"
"295","03014","sa","foula"
"296","03021","sa","lochboisdale"
"297","03023","sa","south uist range"
"298","03025","sa","butt of lewis"
"299","03027","sa","waterstein"
"300","03031","sa","loch glascanoch"
"301","03034","sa","aultbea"
"302","03035","sa","barra"
"303","03040","sa","kilmory"
"304","03041","sa","aonach mor"
"305","03044","sa","altnaharra"
"306","03047","sa","tulloch bridge"
"307","03049","sa","cape wrath"
"308","03054","sa","strathy point"
"309","03055","sa","rackwick"
"310","03057","sa","foyers"
"311","03058","sa","invergordon harbour"
"312","03063","sa","aviemore"
"313","03065","sa","cairngorm"
"314","03070","sa","glenlivet"
"315","03072","sa","cairnwell"
"316","03074","sa","scrabster harbour"
"317","03076","sa","temp for 03075"
"318","03077","sa","lybster"
"319","03080","sa","aboyne"
"320","03085","sa","inchmarlo"
"321","03088","sa","inverbervie"
"322","03092","sa","peterhead harbour"
"323","03094","sa","rosehearty"
"324","03102","sa","orsay"
"325","03114","sa","oban"
"326","03120","sa","lochranza"
"327","03121","sa","kildonan"
"328","03130","sa","west freugh"
"329","03136","sa","prestwick rnas"
"330","03137","sa","whithorn"
"331","03138","sa","greenock mrcc"
"332","03139","sa","saughall"
"333","03144","sa","strathallan"
"334","03148","sa","glen ogle"
"335","03152","sa","salsburgh"
"336","03153","sa","dundrennan"
"337","03154","sa","dumfries / drungans"
"338","03155","sa","drumalbin"
"339","03158","sa","charterhall"
"340","03162","sa","eskdalemuir"
"341","03168","sa","galashiels"
"342","03174","sa","fife ness"
"343","03176","sa","carterhouse"
"344","03188","sa","berwick upon tweed"
"345","03207","sa","snaefell-isle"
"346","03208","sa","point of ayre lighthouse"
"347","03209","sa","drumburgh"
"348","03210","sa","saint bees head"
"349","03212","sa","keswick"
"350","03213","sa","eskmeals"
"351","03213","ua","eskmeals"
"352","03215","sa","aspatria"
"353","03220","sa","carlisle"
"354","03224","sa","spadeadam"
"355","03225","sa","shap"
"356","03226","sa","warcop range"
"357","03227","sa","great dun fell"
"358","03229","sa","great dun fell"
"359","03230","sa","redesdale"
"360","03235","sa","boltshope park"
"361","03241","sa","long framlington"
"362","03242","sa","burnhope"
"363","03246","sa","newcastle weather centre"
"364","03249","sa","sunderland polytech"
"365","03262","sa","tynemouth"
"366","03275","sa","loftus samos"
"367","03281","sa","fylingdales"
"368","03282","sa","whitby"
"369","03292","sa","bridlington mrsc"
"370","03293","sa","cowden"
"371","03303","sa","amlwch"
"372","03305","sa","capel curig"
"373","03308","sa","snowdon summit"
"374","03313","sa","rhyl"
"375","03314","sa","moel-y-crio"
"376","03316","sa","crosby"
"377","03322","sa","aughton"
"378","03322","ua","aughton"
"379","03329","sa","winter hill"
"380","03338","sa","cellarhead"
"381","03339","sa","skipton"
"382","03344","sa","bingley"
"383","03345","sa","emley moor"
"384","03347","sa","leeds weather centre"
"385","03354","sa","nottingham weather centre"
"386","03354","ua","nottingham weather centre"
"387","03385","sa","donna nook"
"388","03387","sa","easington"
"389","03402","sa","mynydd rhiw"
"390","03403","sa","nantmor"
"391","03405","sa","aberdaron"
"392","03408","sa","cynwyd"
"393","03410","sa","lake vyrnwy"
"394","03411","sa","aberhosan"
"395","03488","sa","weybourne"
"396","03496","sa","hemsby"
"397","03496","ua","hemsby"
"398","03501","sa","capel dewi"
"399","03501","ua","capel dewi"
"400","03503","sa","trawscoed"
"401","03507","sa","sennybridge"
"402","03511","sa","newcastle on clun"
"403","03520","sa","shobdon"
"404","03521","sa","madley"
"405","03525","sa","malvern"
"406","03526","sa","barbourne"
"407","03527","sa","great malvern"
"408","03529","sa","pershore"
"409","03544","sa","church lawford"
"410","03559","sa","cardington"
"411","03560","sa","bedford"
"412","03604","sa","milford haven"
"413","03607","sa","pendine"
"414","03608","sa","pendine"
"415","03609","sa","mumbles"
"416","03614","sa","cilfynydd"
"417","03647","sa","little rissington"
"418","03660","sa","high wicombe hqstc"
"419","03670","sa","northwood"
"420","03674","sa","chenies"
"421","03693","sa","shoeburyness"
"422","03693","ua","shoeburyness"
"423","03695","sa","thames tower"
"424","03696","sa","walton-on-naze"
"425","03700","sa","saint gowan l v"
"426","03701","sa","gawlish"
"427","03710","sa","liscombe"
"428","03712","sa","tivington"
"429","03717","sa","cardiff weather centre"
"430","03726","sa","bristol weather centre"
"431","03743","sa","larkhill"
"432","03743","ua","larkhill"
"433","03759","sa","test samos 03761"
"434","03781","sa","kenley"
"435","03784","sa","gravesend-broadness"
"436","03785","sa","charing"
"437","03789","sa","jubilee corner"
"438","03791","sa","sheerness"
"439","03796","sa","langdon bay"
"440","03808","sa","camborne"
"441","03808","ua","camborne"
"442","03810","sa","pendennis point"
"443","03815","sa","lizard lighthouse"
"444","03820","sa","davidstow moor"
"445","03823","sa","cardinham"
"446","03824","sa","bastreet"
"447","03830","sa","burrington"
"448","03831","sa","north hessary tor"
"449","03837","sa","brixham"
"450","03840","sa","dunkeswell aerodrome"
"451","03841","sa","temp for 03840"
"452","03857","sa","isle of portland"
"453","03866","sa","saint catherines point"
"454","03867","sa","lee-on-solent"
"455","03872","sa","thorney island"
"456","03874","sa","solent m r s c"
"457","03880","sa","newhaven"
"458","03881","sa","brede"
"459","03882","sa","herstmonceux"
"460","03882","ua","herstmonceux"
"461","03896","sa","saint helier"
"462","03900","sa","knockarevan"
"463","03902","sa","corgary"
"464","03903","sa","st angelo"
"465","03904","sa","castlederg"
"466","03906","sa","carmoney"
"467","03908","sa","ballykelly"
"468","03911","sa","lough fea"
"469","03912","sa","moyola"
"470","03914","sa","portrush"
"471","03915","sa","portglenone"
"472","03916","sa","ballypatrick forest"
"473","03920","sa","hillsborough"
"474","03920","ua","hillsborough"
"475","03923","sa","glenanne"
"476","03926","sa","killough"
"477","03927","sa","bangor harbour"
"478","03928","sa","larne"
"479","03952","sa","roches point"
"480","03953","sa","valentia observatory"
"481","03953","ua","valentia observatory"
"482","03957","sa","rosslare"
"483","03960","sa","kilkenny"
"484","03964","sa","galway"
"485","03965","sa","birr"
"486","03970","sa","claremorris"
"487","03971","sa","mullingar"
"488","03973","sa","connaught airport"
"489","03974","sa","clones"
"490","03976","sa","belmullet"
"491","03978","sa","finner"
"492","03980","sa","malin head"
"493","04001","sa","breidavik"
"494","04003","sa","kvigindisdalur"
"495","04005","sa","bolungavik"
"496","04007","sa","holar i dyrafirdi"
"497","04010","sa","nedri-holl"
"498","04014","sa","reykjanesviti"
"499","04017","sa","aedey"
"500","04025","sa","reykholar"
"501","04027","sa","asgardur"
"502","04034","sa","stafholtsey"
"503","04038","sa","eyrarbakki"
"504","04041","sa","tannstadabakki"
"505","04042","sa","hjardarland"
"506","04044","sa","hella"
"507","04045","sa","blonduos"
"508","04050","sa","haell"
"509","04051","sa","hraun a skaga"
"510","04052","sa","basar"
"511","04053","sa","bergstadir"
"512","04055","sa","nautabu"
"513","04056","sa","hveravellir"
"514","04058","sa","vatnsskardsholar"
"515","04059","sa","saudanesviti"
"516","04062","sa","nordurhjaleiga"
"517","04064","sa","kirkjubaejarklaustur"
"518","04066","sa","versalir"
"519","04069","sa","stadarholl"
"520","04071","sa","manarbakki"
"521","04072","sa","fagurholsmyri"
"522","04073","sa","grimsstadir"
"523","04080","sa","snaefellsskali"
"524","04081","sa","saudanes"
"525","04087","sa","strandhofn"
"526","04091","sa","reydarfjordur"
"527","04094","sa","nupur"
"528","04097","sa","dalatangi"
"529","04101","sa","bjargtangar"
"530","04103","sa","patreksfjordur"
"531","04104","sa","gufuskalar"
"532","04109","sa","thverfjall"
"533","04110","sa","navy operated automatic meteorological o"
"534","04115","sa","dynjandiheidi"
"535","04119","sa","thingmannaheidi"
"536","04120","sa","grindavik"
"537","04124","sa","straumsvik"
"538","04126","sa","grundartangi"
"539","04130","sa","reykjavik"
"540","04131","sa","gjogur"
"541","04140","sa","thorlakshofn"
"542","04149","sa","kolka"
"543","04154","sa","burfell"
"544","04160","sa","thufuver"
"545","04161","sa","dalvik"
"546","04162","sa","veidivatnahraun"
"547","04165","sa","grimsey"
"548","04166","sa","jokulheimar"
"549","04168","sa","sandbudir"
"550","04170","sa","skardsfjoruviti"
"551","04180","sa","hvanney"
"552","04183","sa","fontur"
"553","04193","sa","gagnheidi"
"554","04196","sa","kambanes"
"555","04197","sa","dalatangi"
"556","04201","sa","qaanaaq"
"557","04203","sa","carey isl"
"558","04207","sa","hall land"
"559","04208","sa","edderfugle oeer"
"560","04210","sa","upernavik"
"561","04214","sa","nuussuaq"
