"label","Sterbedatum","Geburtsort"
"George Orange","2013-01-17","http://dbpedia.org/resource/Yorkshire"
"George Thompson Ruby","1882-10-31","http://dbpedia.org/resource/New_York"
"Georgios Stephanou","1901","http://dbpedia.org/resource/Himarë"
"Gerald Jones","",""
"Gerardo Jiménez Sánchez","","http://dbpedia.org/resource/Mexico"
"Gert Verhulst","","http://dbpedia.org/resource/Belgium"
"Gessica Rostellato","",""
"Ghostshrimp","",""
"Gianni Pezzani","",""
"Gideon Kimbrell","","http://dbpedia.org/resource/Montana"
"Gigi Gorgeous","",""
"Gigia Talarico","","http://dbpedia.org/resource/Santiago"
"Gil Alon","","http://dbpedia.org/resource/Israel"
"Gilles-William Goldnadel","","http://dbpedia.org/resource/Seine-Maritime"
"Gino Polli","",""
"Giorgio Demetrio Gallaro","","http://dbpedia.org/resource/Pozzallo"
"Giovanni Vignale","",""
"Girish Dattatray Mahajan","",""
