"Geburtsort","birth place","label","Geburtsdatum"
"http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/Toronto","Charlotte Hegele","1990-11-12"
"","","Chase Iron Eyes",""
"","","Chase Walker","1998-08-16"
"http://dbpedia.org/resource/San_Francisco","http://dbpedia.org/resource/San_Francisco","Chayah Miranda",""
"http://dbpedia.org/resource/St._Louis","http://dbpedia.org/resource/St._Louis","Cheneta Jones",""
"","","Cheryl Youakim","1969-05-29"
"http://dbpedia.org/resource/Colombo","http://dbpedia.org/resource/Colombo","Chevaan Daniel","1978-05-11"
"http://dbpedia.org/resource/Glasgow","http://dbpedia.org/resource/Glasgow","Chris Gayne",""
"http://dbpedia.org/resource/County_Durham","","Chris Harrison (photographer)",""
"http://dbpedia.org/resource/Norway","http://dbpedia.org/resource/Norway","Chris Holsten",""
"","","Chris Larsen",""
"","","Chris Law (politician)","1969-10-21"
"","","Chris McClarney","1979-11-30"
