"country or territory","population","downloads (thousands)","downloads (per thousand inhabitants)"
"1. china","1 332 840 000","3 159","2"
"2. india","1 168 670 000","7 048","6"
"3. united states","307 340 000","39 093","127"
"4. indonesia","229 965 000","6 833","30"
"5. brazil","191 820 000","11 038","57"
"6. pakistan","167 378 500","n/a","n/a"
"7. bangladesh","162 221 000","n/a","n/a"
"8. nigeria","154 729 000","n/a","n/a"
"9. russia","141 862 000","6 592","46"
"10. japan","127 590 000","3 980","31"
"11. mexico","107 550 697","2 934","27"
"12. philippines","92 222 660","5 048","55"
"13. vietnam","85 789 573","3 798","44"
"14. germany","82 046 000","19 608","239"
"15. ethiopia","79 221 000","n/a","n/a"
"16. egypt","77 116 112","1 567","20"
"17. iran","74 196 000","n/a","n/a"
"18. turkey","71 517 100","4 010","56"
"19. dem. rep. of congo","66 020 000","n/a","n/a"
"20. france","65 073 482","7 575","117"
"21. thailand","63 389 730","1 895","30"
"22. united kingdom","61 634 599","6 475","103"
"23. italy","60 088 880","5 085","85"
"24. myanmar (burma)","50 020 000","n/a","n/a"
"25. south africa","49 320 000","n/a","n/a"
"26. south korea","48 333 000","n/a","n/a"
"27. ukraine","46 029 281","1 648","36"
"28. spain","45 929 476","4 146","90"
"29. colombia","45 074 137","1 547","34"
"30. tanzania","43 739 000","n/a","n/a"
"31. sudan","42 272 000","n/a","n/a"
"32. argentina","40 134 425","2 359","59"
"33. kenya","39 802 000","n/a","n/a"
"34. poland","38 100 700","5 337","140"
"35. algeria","34 895 000","n/a","n/a"
"36. canada","33 772 000","4 412","130"
"37. uganda","32 710 000","n/a","n/a"
"38. morocco","31 567 613","n/a","n/a"
"39. iraq","30 747 000","n/a","n/a"
"40. nepal","29 331 000","n/a","n/a"
"41. peru","29 132 013","n/a","n/a"
"42. venezuela","28 456 383","1 167","42"
"43. afghanistan","28 150 000","n/a","n/a"
"44. uzbekistan","27 488 000","n/a","n/a"
"45. malaysia","27 468 000","2 302","85"
"46. saudi arabia","25 721 000","n/a","n/a"
"47. north korea","24 051 706","n/a","n/a"
"48. ghana","23 837 000","n/a","n/a"
"49. yemen","23 580 000","n/a","n/a"
"50. taiwan","23 069 345","1 332","58"
"51. mozambique","22 894 000","n/a","n/a"
"52. syria","21 906 000","n/a","n/a"
"53. australia","21 903 000","2 939","134"
"54. romania","21 498 616","1 718","82"
"55. côte d&#8217;ivoire","21 075 000","n/a","n/a"
"56. sri lanka","20 238 000","n/a","n/a"
"57. madagascar","19 625 000","n/a","n/a"
"58. cameroon","19 522 000","n/a","n/a"
"59. angola","18 498 000","n/a","n/a"
"60. chile","16 961 000","1 478","87"
"61. netherlands","16 535 207","1 868","110"
"62. kazakhstan","15 776 492","n/a","n/a"
"63. burkina faso","15 757 000","n/a","n/a"
"64. niger","15 290 000","n/a","n/a"
"65. malawi","15 263 000","n/a","n/a"
"66. cambodia","14 805 000","n/a","n/a"
"67. ecuador","14 036 775","n/a","n/a"
"68. guatemala","14 027 000","n/a","n/a"
"69. mali","13 010 000","n/a","n/a"
"70. zambia","12 935 000","n/a","n/a"
"71. senegal","12 534 000","n/a","n/a"
"72. zimbabwe","12 523 000","n/a","n/a"
"73. greece","11 257 285","1 555","141"
"74. chad","11 206 000","n/a","n/a"
"75. cuba","11 204 000","n/a","n/a"
"76. belgium","10 754 528","1 059","96"
"77. portugal","10 627 250","906","82"
"78. czech republic","10 467 542","1 378","138"
"79. tunisia","10 327 800","n/a","n/a"
"80. dominican republic","10 090 000","n/a","n/a"
"81. guinea","10 069 000","n/a","n/a"
"82. haiti","10 033 000","n/a","n/a"
"83. hungary","10 031 208","2 404","240"
"84. rwanda","9 998 000","n/a","n/a"
"85. bolivia","9 863 000","n/a","n/a"
"86. serbia","9 850 000","n/a","n/a"
"87. belarus","9 671 900","n/a","n/a"
"88. sweden","9 292 359","1 553","173"
"89. somalia","9 133 000","n/a","n/a"
"90. benin","8 935 000","n/a","n/a"
"91. azerbaijan","8 629 900","n/a","n/a"
"92. austria","8 355 260","1 432","179"
"93. burundi","8 303 000","n/a","n/a"
"94. switzerland","7 739 100","1 212","152"
"95. bulgaria","7 606 551","n/a","n/a"
"96. honduras","7 466 000","n/a","n/a"
"97. israel","7 434 000","1 687","241"
"98. hong kong","7 008 900","n/a","n/a"
"99. tajikistan","6 952 000","n/a","n/a"
"100. papua new guinea","6 732 000","n/a","n/a"
"101. togo","6 619 000","n/a","n/a"
"102. libya","6 420 000","n/a","n/a"
"103. paraguay","6 349 000","n/a","n/a"
"104. laos","6 320 000","n/a","n/a"
"105. jordan","6 316 000","n/a","n/a"
"106. el salvador","6 163 000","n/a","n/a"
"107. nicaragua","5 743 000","n/a","n/a"
"108. sierra leone","5 696 000","n/a","n/a"
"109. denmark","5 519 441","n/a","n/a"
"110. kyrgyzstan","5 482 000","n/a","n/a"
"111. slovakia","5 413 548","n/a","n/a"
"112. finland","5 344 345","1 140","228"
"113. turkmenistan","5 110 000","n/a","n/a"
"114. eritrea","5 073 000","n/a","n/a"
