"#","Country","Currency","Code(Symbol)"
"1","United States","United States dollar","USD ($)"
"2","European Union*","Euro","EUR (?)"
"3","Japan","Japanese yen","YEN (?)"
"4","United Kingdom","Pound sterling","GBP (?)"
"5","Australia","Australian dollar","AUD ($)"
"6","Switzerland","Swiss franc","SFR (Fr)"
"7","Canada","Canadian dollar","CAD ($)"
"8","Hong Kong","Hong Kong dollar","HKD ($)"
"9","Sweden","Swedish krona","SKR (kr)"
"10","New Zealand","New Zealand dollar","NZD ($)"
"11","South Korea","South Korean won","WON (?)"
"12","Singapore","Singapore dollar","SIN ($)"
"13","Norway","Norwegian krone","NKR (kr)"
"14","Mexico","Mexican peso","MXP ($)"
"15","India","Indian rupee","IND ()"
