"1","","Song For My Father","","","479"
"2","","Que Pasa","","","179"
"3","","Doodlin'","","","141"
"4","","Sister Sadie","","","134"
"5","","Que Pasa (Trio Version)","","","129"
"6","","The Preacher","","","110"
"7","","Song For My Father (Rudy Van Gelder Edition) [1999 - Remastered]","","","109"
"8","","Peace","","","93"
"9","","Senor Blues","","","91"
"10","","Safari","","","84"
"11","","Blowin' The Blues Away","","","63"
"12","&nbsp;","Calcutta Cutie","","","60"
"13","","Room 608","","","59"
"14","&nbsp;","Melancholy Mood","","","55"
"15","&nbsp;","The Baghdad Blues","","","52"
