"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"46910958","The Wayward Pines Trilogy","https://cpl.bibliocommons.com/item/show/6420184048_pines","669941274"
"45630771","The Winter Anthology","http://www.winteranthology.com/","669571301"
"46280420","There Should be More Dancing","","679790788"
"47347486","Times of San Diego","http://timesofsandiego.com/","675483269"
"46190680","Trajecta","",""
"46556967","Transplantation (journal)","",""
"47785056","Tri-State Defender","http://tsdmemphis.com","680534747"
"47389023","Tucker's Monster","http://www.tuckersmonster.com/","679299129"
"","双星の陰陽師","",""
"47733148","U.S. 1 (newspaper)","","680122516"
"","最弱無敗の神装機竜","",""
"47868087","Undeniable: Evolution and the Science of Creation","http://us.macmillan.com/static/smp/undeniable/","681860846"
"","Une adolescence en Gueldre","",""
"46740869","Unity (newspaper)","http://www.communistpartyofireland.ie/unity/","682240215"
"","Unreasonable Force","",""
"46489534","Utica Phoenix","http://www.uticaphoenix.net","659958461"
"47696139","Valley Roadrunner","","679277150"
"46918363","Version Control by Example","http://ericsink.com/vcbe/","680089102"
"45711913","Vest (newspaper)","http://www.vest.mk/","675014430"
"46802192","Water Science and Technology","",""
