"label","birth place","Geburtsdatum","Geburtsort"
"David Huntsberger","http://dbpedia.org/resource/Nevada","","http://dbpedia.org/resource/Nevada"
"Jessimae Peluso","http://dbpedia.org/resource/United_States","","http://dbpedia.org/resource/United_States"
"Nore Davis","","","http://dbpedia.org/resource/New_York"
"Vince Duverge","","1995-01-15",""
"Without a Box","","",""
"Chris Cubas","http://dbpedia.org/resource/New_York","","http://dbpedia.org/resource/New_York"
"Dax Jordan","","","http://dbpedia.org/resource/California"
"Gotzon Mantuliz","","","http://dbpedia.org/resource/Biscay"
"Joke Singh","","","http://dbpedia.org/resource/Gujarat"
"Max Silvestri","","1983",""
"Tom & Olly","","",""
"Tom Parry (comedian)","","",""
"Reno (comedian)","http://dbpedia.org/resource/United_States","","http://dbpedia.org/resource/United_States"
"Ria Lina","http://dbpedia.org/resource/England","","http://dbpedia.org/resource/England"
"Ryan Rems","http://dbpedia.org/resource/Quezon_City","","http://dbpedia.org/resource/Quezon_City"
