"Geburtsdatum","birth place","Geburtsort","label"
"1950","Unknown","","Dan Sullivan (Arkansas politician)"
"1972-04-12","","","Dave Pinto"
"1948","Place of birth missing","","Dave Wallace (Arkansas politician)"
"1976","","http://dbpedia.org/resource/South_Korea","David Ryu"
"","","","Dennis Smith (politician)"
"","Calgary","http://dbpedia.org/resource/Calgary","Druh Farrell"
"1953-07-21","http://dbpedia.org/resource/Guam","http://dbpedia.org/resource/Guam","Elizabeth Barrett-Anderson"
"","","","Elizabeth Sherwood-Randall"
"","Calgary","http://dbpedia.org/resource/Calgary","Evan Woolley"
"","","","Gary Glenn"
"","New York","http://dbpedia.org/resource/New_York","George Thompson Ruby"
"","","","Gerald Jones"
"1960-05-17","","","Girish Dattatray Mahajan"
"","","","Greg Clark"
