"lake name","access","acres","class","category"
"bony lake","water","191","b","2"
"buffalo lake","walk-in","179","b","1"
"buskey bay","ramp","100","a1","2"
"chippewa","ramp","319","b","1"
"cranberry lake t44n r09w s30","water","131","b","1"
"devils lake","water","23","c","2"
"eagle lake (murrayinch)","water","170","b","2"
"eau claire lake lower*","ramp","802","b","2"
"eau claire lake middle","ramp","902","a1","2"
"eau claire lake upper","ramp","996","b","2"
"flynn lake t46n r08w s03","water","29","b","2"
"ghost lake","water","132","b","1"
"hart lake (heartwiehe)","water","259","a1","2"
"hildur (bluebird) lake","road","67","c","1"
"jackson lake","water","142","b","2"
"mccarry lake","water","32","c","2"
"millicent lake (pike)","water","183","a1","2"
"muskellunge lake (butte)","road","44","c","2"
"namekagon lake(spring garden)","ramp","3227","a1","2"
"pacwawong lake*","ramp","160","&nbsp;","&nbsp;"
"pike lake","water","17","c","2"
"shunenberg lake","water","44","c","2"
"smith lake","water","31","c","2"
"swett lake (sweet)","water","88","c","2"
"twin bear lake (crow)","ramp","172","a1","2"
"white bass lake","none","112","c","1"
