"Rank","Name","State","Industry","Revenue ($bil)","Employees"
"30","Murdock Holding Company","CA","Farm Products","6.99 &nbsp;&nbsp;&nbsp;&nbsp;","75000"
"22","Platinum Equity","CA","Conglomerates","8.00 &nbsp;&nbsp;&nbsp;&nbsp;","45000"
"9","Bechtel","CA","Heavy Construction","18.10 &nbsp;&nbsp;&nbsp;&nbsp;","40000"
"82","Aecom Technology","CA","General Contractors","3.30 2&nbsp;&nbsp;","26000"
"131","Mervyns","CA","Department Stores","2.43 e&nbsp;&nbsp;","20000"
"367","24 Hour Fitness Worldwide","CA","Consumer Services","1.08 &nbsp;&nbsp;&nbsp;&nbsp;","19660"
"176","Petco Animal Supplies","CA","Specialty Retail Other","2.00 &nbsp;&nbsp;&nbsp;&nbsp;","17900"
"76","Stater Bros Markets","CA","Grocery Stores","3.40 2&nbsp;&nbsp;","17000"
"78","Raley's","CA","Grocery Stores","3.37 e&nbsp;&nbsp;","16600"
"142","Fry's Electronics","CA","Specialty Retail Other","2.34 e&nbsp;&nbsp;","12000"
"126","Save Mart Supermarkets","CA","Grocery Stores","2.50 &nbsp;&nbsp;&nbsp;&nbsp;","10500"
"111","Parsons","CA","Heavy Construction","2.73 &nbsp;&nbsp;&nbsp;&nbsp;","10300"
"197","Foster Farms","CA","Meat Products","1.80 e&nbsp;&nbsp;","10000"
"53","Levi Strauss & Co","CA","Textile - Apparel Clothing","4.13 &nbsp;&nbsp;&nbsp;&nbsp;","9635"
"20","Capital Group Cos","CA","Asset Management","9.25 e&nbsp;&nbsp;","8000"
"109","Consolidated Elec Distributors","CA","Wholesale Other","2.80 e&nbsp;&nbsp;","5200"
"112","E&J Gallo Winery","CA","Beverages - Wineries & Distillers","2.70 e&nbsp;&nbsp;","4400"
"322","Crowley Maritime","CA","Shipping","1.19 &nbsp;&nbsp;&nbsp;&nbsp;","4300"
"270","Latham & Watkins","CA","Business Services","1.41 &nbsp;&nbsp;&nbsp;&nbsp;","4234"
"238","Sierra Pacific Industries","CA","Lumber Wood Production","1.57 e&nbsp;&nbsp;","4000"
"366","Pacific Coast Building Products","CA","General Building Materials","1.08 &nbsp;&nbsp;&nbsp;&nbsp;","3700"
"74","JF Shea","CA","Residential Construction","3.43 &nbsp;&nbsp;&nbsp;&nbsp;","3299"
"97","Kingston Technology","CA","Semiconductor- Memory Chips","3.00 &nbsp;&nbsp;&nbsp;&nbsp;","2729"
"258","Roll International","CA","Conglomerates","1.48 2&nbsp;&nbsp;","2685"
"137","Golden State Foods","CA","Farm Products","2.38 &nbsp;&nbsp;&nbsp;&nbsp;","2500"
