"label","Wikipage page ID","Wikipage revision ID","Link from a Wikipage to an external page"
"A.C. Doukas Basketball","47701147","683295810","http://www.doukasbasketball.com/"
"AMVJ (basketbal)","46267829","",""
"Acıbadem Üniversitesi S.K.","46769566","682083713",""
"Adana ASKI","46487622","683984464","http://www.adanaaskispor.com"
"Alsace de Bagnolet","46242506","",""
"BC Caspiy Aktau","47356289","682032765",""
"Basketbalový klub Dukla Praha","46254953","654098806","http://duklapraha.webz.cz/historie.htm"
"BC Lietkabelis-2","47736038","",""
"BC Nokia","47661473","683846783","http://www.bcnokia.com/"
"Basketbol'nyj klub Novosibirsk","46380793","662258993","http://www.basketclub.ru/index.phtml?flash=4"
"BC Trakai","","",""
"BC Vytis","","",""
"Zorg en Zekerheid Leiden","46279016","",""
"Den Helder Kings","46286910","677455488",""
"Rotterdam-Zuid Basketbal","46269475","677454225",""
"Bankstown Bruins","","",""
"Basketball Agia Paraskevi","46410028","656468454","http://www.kap-bc.gr/"
"Beşiktaş JK Istanbul (Basketball)","","",""
"Blue Stars Diemen","46262674","654228375","http://www.bluestars-basketbal.nl"
"CB Morón","","",""
