"Language","Title","Issuance","Publication","Collection"
"Japanese","?????","Annually","Japan","1998/1--(n.4-- )"
"Chinese","YT Kitchen's Collection","Monthly","Taiwan","1998/6--(n.1--)"
"Chinese (abb.)","World Cuisine","Quarterly","Mainland China","1984/6--(n.19-- )"
"Japanese","VESTA","Quarterly","Japan","1990/4--(n.3-- )"
"Japanese","The Rese Arch Society For Dietary Habits","Bimonthly","Japan","2002/3--(vol.22 n.3-- )"
"Japanese","The Professional Cooking","Monthly","Japan","1987/1--(vol.22 n.1-- )"
"Japanese","The Food Service Management","Monthly","Japan","1998/1--(vol.38 n.1-- )"
"Chinese","Taiwan Tea","Monthly","Taiwan","1984/7--(n.577-- )"
"Chinese","Taiwan Food News","Monthly","Taiwan","1987/1--(n.13-- )"
"Chinese","Supertaste","Biweekly","Taiwan","2009/5--(n.152--)"
"Chinese","Soy Fermenting Food Industry","Quarterly","Taiwan","2011/1--(n.63--)"
"Chinese (abb.)","Sichuan Pengren","Monthly","Mainland China","1983/11--(n.1-- )"
"Chinese (abb.)","Shanghai Seasoning","Quarterly","Mainland China","1998/1- (no.79--)"
"Chinese","Ryori.Taiwan","Bimonthly","Taiwan","2012/1--(n.1--)"
"Chinese (abb.)","Oriental Medicated Diet","Quarterly","Mainland China","1998/1--(n.10--)"
"Chinese (abb.)","Oriental Food-Culinary Artist","Monthly","Mainland China","1993/1--(n.21--)"
"Chinese (abb.)","Oriental Food-Catering Managers","Monthly","Mainland China","1993/1--(n.21-- )"
"Chinese","Organic Lifestyle","Monthly","Taiwan","2011/5--(n.52--)"
"Chinese (abb.)","Mei Shi","Bimonthly","Mainland China","1993/3--(n.17-- )"
"Japanese","Management Operation Promotion","Monthly","Japan","1998/1-- (vol.25 n.1--)"
