"6-8","vapaapainileiri                     tyt&ouml;t","lappaj&auml;rvi"
"6-8","energy                     teamin leiri vp","kouvola"
"7","{arvo                     haavisto -turnaus kr|eng}","ilmajoki (ik)"
"7","junior                     kare","kouvola (kopa)"
"8-11","maajoukkueleiri                     kr","kuortane"
"14","janakkala                     open","turenki (jpi)"
"14","baltic                     cup vp","viljandi (est)"
"15","pohjanmaa-liiga","vaasa"
"21-22","{vantaa                     painicup|eng|preliminary                     entry|entry                     by name}","vantaa (ytk)"
"26-27","henry deglane challenge","nizza (fra)"
"26-28","vapaapainileiri (kad/jun/sen)","helsinki"
"27-29","{sivu                     1|sivu                     2}","haaparanta (swe)"
"28-29","{joulumaapainit|majoitustarjous}","rovaniemi (lalu)"
"28-29","helsinki                     open","helsinki (hpm)"
