"label","Geburtsort","birth place"
"Adolphus Washington","http://dbpedia.org/resource/Cincinnati","http://dbpedia.org/resource/Cincinnati"
"Al Hoisington","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago"
"Al Richardson (end)","",""
"Alex Gorgal","",""
"Andy Gallik","http://dbpedia.org/resource/Illinois",""
"Arthur Tripp","",""
"Ben Ciccone","",""
"Ben Malena","http://dbpedia.org/resource/Dallas","http://dbpedia.org/resource/Dallas"
"Bill Breeden","",""
"Bill Larson (fullback)","",""
"Bill Whalen","",""
