"9/26","vs.","Louisiana State (8-2-1)","L","0","3"
"10/3","vs.","West Virginia (7-4)","W","24","0"
"10/10","@","Stanford (5-5)","L","7","34"
"10/17","@","*Southern Methodist (1-9)","W","7","6"
"10/24","vs.","*Texas (10-1)","L","3","6"
"10/31","vs.","*Texas Tech (6-4-1)","T","6","6"
"11/7","@","*Arkansas (11-0)","L","0","21"
"11/14","vs.","*Texas A&M (1-9)","W","19","8"
"11/21","vs.","*Texas Christian (4-6)","W","31","0"
"11/28","@","*Baylor (5-5)","L","20","27"
"&nbsp;","&nbsp;","4-5-1","&nbsp;","117","111"
