"Geburtsort","birth place","label","Geburtsdatum"
"http://dbpedia.org/resource/Nyzhankovychi","","Ihor Duts",""
"http://dbpedia.org/resource/Spain","http://dbpedia.org/resource/Spain","Iosune Murillo Elkano","1980-05-14"
"http://dbpedia.org/resource/Adelaide","http://dbpedia.org/resource/Adelaide","James Glasspool",""
"","","Jayson Patino","1983-07-30"
"http://dbpedia.org/resource/British_Columbia","http://dbpedia.org/resource/British_Columbia","Jazmyne Denhollander","1994-01-08"
"http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States","ジャーモール・チャーロ",""
"http://dbpedia.org/resource/Heerlen","http://dbpedia.org/resource/Heerlen","Jessica Blaszka","1992-08-05"
"http://dbpedia.org/resource/Ontario","","Jessie Gregory",""
"","http://dbpedia.org/resource/Scotland","Jimmy Gunn (golfer)",""
"","","Joan McKowen",""
"http://dbpedia.org/resource/Dallas","http://dbpedia.org/resource/Dallas","Jordan Mickey","1994-07-09"
"http://dbpedia.org/resource/Portugal","","José Monroy",""
