"#","#","Ply","Move","Equity"
"*","1","M","13/7 6/1*","-0.274"
"&nbsp;","&nbsp;","&nbsp;","0.5%&nbsp;&nbsp;13.7%&nbsp;&nbsp;40.4%&nbsp;&nbsp;&nbsp;&nbsp;59.6%&nbsp;&nbsp;15.1%&nbsp;&nbsp; 0.8%","0.5%&nbsp;&nbsp;13.7%&nbsp;&nbsp;40.4%&nbsp;&nbsp;&nbsp;&nbsp;59.6%&nbsp;&nbsp;15.1%&nbsp;&nbsp; 0.8%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.209 ?018.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 20110 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.209 ?018.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 20110 games)                  played 2-ply (huge)                  seed 8711 with race database."
"&nbsp;","2","M","11/5 6/1*","-0.361 (-0.087)"
"&nbsp;","&nbsp;","&nbsp;","0.4%&nbsp;&nbsp;11.9%&nbsp;&nbsp;38.5%&nbsp;&nbsp;&nbsp;&nbsp;61.5%&nbsp;&nbsp;14.8%&nbsp;&nbsp; 0.8%","0.4%&nbsp;&nbsp;11.9%&nbsp;&nbsp;38.5%&nbsp;&nbsp;&nbsp;&nbsp;61.5%&nbsp;&nbsp;14.8%&nbsp;&nbsp; 0.8%"
"&nbsp;","&nbsp;","&nbsp;","95% confidence interval:                  - money cubeless eq.: -0.262 ?019.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 17388 games)                  played 2-ply (huge)                  seed 8711 with race database.","95% confidence interval:                  - money cubeless eq.: -0.262 ?019.               Rollout settings:                  Truncated rollout depth 10                  144 games (equiv. 17388 games)                  played 2-ply (huge)                  seed 8711 with race database."
"&nbsp;","3","3","13/8 11/5","-0.396 (-0.122)"
"&nbsp;","&nbsp;","&nbsp;","0.4%&nbsp;&nbsp;10.4%&nbsp;&nbsp;37.5%&nbsp;&nbsp;&nbsp;&nbsp;62.5%&nbsp;&nbsp;14.0%&nbsp;&nbsp; 0.5%","0.4%&nbsp;&nbsp;10.4%&nbsp;&nbsp;37.5%&nbsp;&nbsp;&nbsp;&nbsp;62.5%&nbsp;&nbsp;14.0%&nbsp;&nbsp; 0.5%"
"&nbsp;","4","3","13/2","-0.426 (-0.152)"
"&nbsp;","&nbsp;","&nbsp;","0.4%&nbsp;&nbsp;10.8%&nbsp;&nbsp;36.5%&nbsp;&nbsp;&nbsp;&nbsp;63.5%&nbsp;&nbsp;15.2%&nbsp;&nbsp; 0.6%","0.4%&nbsp;&nbsp;10.8%&nbsp;&nbsp;36.5%&nbsp;&nbsp;&nbsp;&nbsp;63.5%&nbsp;&nbsp;15.2%&nbsp;&nbsp; 0.6%"
"&nbsp;","5","2","13/7 11/6","-0.442 (-0.168)"
"&nbsp;","&nbsp;","&nbsp;","0.3%&nbsp;&nbsp; 9.7%&nbsp;&nbsp;35.1%&nbsp;&nbsp;&nbsp;&nbsp;64.9%&nbsp;&nbsp;14.1%&nbsp;&nbsp; 0.6%","0.3%&nbsp;&nbsp; 9.7%&nbsp;&nbsp;35.1%&nbsp;&nbsp;&nbsp;&nbsp;64.9%&nbsp;&nbsp;14.1%&nbsp;&nbsp; 0.6%"
"&nbsp;","6","2","8/2 6/1*","-0.451 (-0.177)"
"&nbsp;","&nbsp;","&nbsp;","0.3%&nbsp;&nbsp;10.5%&nbsp;&nbsp;35.7%&nbsp;&nbsp;&nbsp;&nbsp;64.3%&nbsp;&nbsp;17.8%&nbsp;&nbsp; 0.9%","0.3%&nbsp;&nbsp;10.5%&nbsp;&nbsp;35.7%&nbsp;&nbsp;&nbsp;&nbsp;64.3%&nbsp;&nbsp;17.8%&nbsp;&nbsp; 0.9%"
