"Link from a Wikipage to an external page","Wikipage revision ID","nationality","Wikipage page ID","birth date","Geburtsdatum","label"
"http://www.davidlharrison.com/","683523781","American","47919906","1937-03-13","1937-03-13","David Harrison (author)"
"","","","","","","David Helbock"
"","","","","","1968-11-22","David Hew Choong Jeng"
"","","","","","","David Huntsberger"
"","","","","","","David J Newton"
"","","","","","1941","David M. Schwarz"
"","","","","","1963-03-06","David Magidson"
"","","","","","1986-10-07","David Michael Bennett"
"","","","","","","David Nazarian"
"","","","","","1976","David Ryu"
"","","","","","","Dayramir Gonzalez"
"","","","","","","DeWayne Woods"
"","","","","","","Dean O'Brien (tennis)"
"","","","","","1965-03-27","Deb Hoffmann"
"","","","","","1963-10-08","Deb Sofield"
"","","","","","1964","Deborah Milner"
"","","","","","","Declan Jones"
"http://pisceannpictures.in/","682811848","","47916490","","","Dedipya Joshii"
"","","","","","","Deeder Zaman"
"","","","","","","Deidre Brock"
