"&nbsp;","name landmark","&nbsp;","hotels in this region"
"amsterdam","ajax museum","&nbsp;","ajax-museum"
"amsterdam","allard pierson museum","&nbsp;","allard-pierson-museum"
"amsterdam","amsterdam old course","&nbsp;","amsterdam-old-course-golf"
"amsterdam","amsterdamse golf club","&nbsp;","amsterdamse-golf-club"
"amsterdam","amsterdamse poort","&nbsp;","amsterdamse-poort"
"amsterdam","anne frank house","&nbsp;","anne-frank-house"
"amsterdam","artis zoo","&nbsp;","artis-zoo"
"amsterdam","begijnhof","&nbsp;","begijnhof"
"amsterdam","beurs van berlage","&nbsp;","beurs-van-berlage"
"amsterdam","boom chicago","&nbsp;","boom-chicago"
"amsterdam","byzantium","&nbsp;","byzantium"
"amsterdam","de balie","&nbsp;","de-balie"
"amsterdam","de meervaart","&nbsp;","de-meervaart"
"amsterdam","europarking","&nbsp;","europarking"
"amsterdam","faculty of law","&nbsp;","faculty-of-law"
"amsterdam","faculty of social sciences","&nbsp;","faculty-of-social-sciences"
"amsterdam","foam museum of photography","&nbsp;","foam-museum-of-photography"
"amsterdam","gassan diamonds","&nbsp;","gassan-diamonds"
"amsterdam","ge commercial finance amsterdam","&nbsp;","ge-amsterdam"
"amsterdam","heineken breweries","&nbsp;","heineken-museum"
"amsterdam","heineken music hall","&nbsp;","heineken-music-hall"
"amsterdam","hermitage amsterdam","&nbsp;","hermitage-amsterdam"
"amsterdam","het betty asfalt complex","&nbsp;","het-betty-asfalt-complex"
"amsterdam","het concertgebouw","&nbsp;","concertgebouw"
"amsterdam","het muziektheater","&nbsp;","het-muziektheater"
"amsterdam","historical museum amsterdam","&nbsp;","historical-museum-amsterdam"
"amsterdam","holland casino amsterdam","&nbsp;","holland-casino-amsterdam"
"amsterdam","holland experience","&nbsp;","holland-experience"
"amsterdam","hollandsche schouwburg","&nbsp;","hollandsche-schouwburg"
"amsterdam","ice bar","&nbsp;","ice-bar"
"amsterdam","jeugdtheater de krakeling","&nbsp;","jeugdtheater-de-krakeling"
"amsterdam","jewish historical museum","&nbsp;","jewish-historical-museum"
"amsterdam","lighthouse amsterdam","&nbsp;","lighthouse-amsterdam"
"amsterdam","lutheran church","&nbsp;","lutheran-church"
"amsterdam","madame tussaud's amsterdam","&nbsp;","madame-tussaud-s-amsterdam"
"amsterdam","magna plaza","&nbsp;","magna-plaza"
"amsterdam","mahler","&nbsp;","mahler"
"amsterdam","meeting plaza amsterdam","&nbsp;","meeting-plaza-amsterdam"
"amsterdam","melkweg","&nbsp;","melkweg"
"amsterdam","metro amstelveenseweg","&nbsp;","metro-amstelveenseweg"
"amsterdam","metro de vlugtlaan","&nbsp;","metro-de-vlugtlaan"
"amsterdam","metro ganzenhoef","&nbsp;","metro-ganzenhoef"
"amsterdam","metro heemstedestraat","&nbsp;","metro-heemstedestraat"
"amsterdam","metro isolatorweg","&nbsp;","metro-isolatorweg"
"amsterdam","metro jan van galenstraat","&nbsp;","metro-jan-van-galenstraat"
"amsterdam","metro kraaiennest","&nbsp;","metro-kraaiennest"
"amsterdam","metro nieuwmarkt","&nbsp;","metro-nieuwmarkt"
"amsterdam","metro over amstel","&nbsp;","metro-over-amstel"
"amsterdam","metro postjesweg","&nbsp;","metro-postjesweg"
"amsterdam","metro sneevlietweg","&nbsp;","metro-sneevlietweg"
"amsterdam","metro spaklerweg","&nbsp;","metro-spaklerweg"
"amsterdam","metro station gaasperplas","&nbsp;","metro-station-gaasperplas"
"amsterdam","metro station gein","&nbsp;","metro-station-gein"
"amsterdam","metro strandvliet/arena","&nbsp;","metro-strandvliet-arena"
"amsterdam","metro venserpolder","&nbsp;","metro-venserpolder"
"amsterdam","metro waterlooplein","&nbsp;","metro-waterlooplein"
"amsterdam","metro weesperplein","&nbsp;","metro-weesperplein"
"amsterdam","metro wibautstraat","&nbsp;","metro-wibautstraat"
"amsterdam","movie museum","&nbsp;","movie-museum"
"amsterdam","munttoren (mint tower)","&nbsp;","munttoren--mint-tower-"
"amsterdam","museumplein","&nbsp;","museumplein"
"amsterdam","muziekgebouw aan het ij","&nbsp;","muziekgebouw-aan-het-ij"
"amsterdam","nemo","&nbsp;","nemo"
"amsterdam","nes theaters","&nbsp;","nes-theaters"
"amsterdam","netherlands maritime museum","&nbsp;","netherlands-maritime-museum"
"amsterdam","new church","&nbsp;","new-church"
"amsterdam","nieuwe de la mar theater","&nbsp;","nieuwe-de-la-mar-theater"
"amsterdam","nieuwmarkt","&nbsp;","nieuwmarkt"
"amsterdam","north market","&nbsp;","north-market"
"amsterdam","northern church","&nbsp;","northern-church"
"amsterdam","old church","&nbsp;","old-church"
"amsterdam","old stock exchange","&nbsp;","old-stock-exchange"
"amsterdam","olympic stadium","&nbsp;","olympic-stadium2"
