"Wikipage page ID","Wikipage revision ID","label"
"41645315","683630494","Cloud rap"
"39157986","559935968","Desi Beats"
"3303725","619551956","Gamelan selunding"
"2968108","","Ikinimba"
"19372837","378389236","Mirror fugue"
"6310630","667113701","Oppari"
"","","Post-Britpop"
"","","Stoner rock"
"","","K-pop"
"","","Sludge metal"
"4655922","676531961","Ethereal wave"
"","","Exotica"
"","","Folk punk"
"","","Freak folk"
"","","Freakbeat"
"3965777","629316022","Maggio drammatico"
"","","Outlaw country"
"7750918","606227940","Polo (music)"
"8910477","544651587","Toeshey"
"6807246","682986131","Were music"
