"Countries","Language","Countries","Language"
"S'pore / Taiwan","Amoy","Laos","Laotion"
"Sudan","Anuak","Lat/Lithua","Latvian"
"Arm / Iran / Iraq","Armenian","Lithuania","Lithuanian"
"Arm / Iran / Iraq","Armenian West","Sudan","Lotuko"
"Iraq / Syria","Assyrian","Indonesia","Madurese"
"Australia","Auslan","Malaysia","Malay (Bahasa)"
"Indo / Bali / Java","Balinese Basi Bali","Malta","Maltese Malti"
"Sudan","Bari","New Zealand","Maori"
"Belarus / Poland","Belarusian","India","Marathi"
"Africa (Congo)","Bemba","Burma/Thailand","Mon"
"New Cal / Van","Bislama","Mongolia","Mongolian"
"Iraq","Chaldean","Nepal/Bhutan","Nepali"
"Czech R / Pol","Czech","NULL","Open Caption"
"Denmark","Danish dansk","Eth/Som","Oromo Afaan Oromo"
"Netherlands","Dutch","Pakistan","Pashtu"
"Eston / Finland","Estonian","PNG","Pidgin English"
"Fiji","Fijian vaka-Viti","Samoa","Samoan"
"Finland","Finnish suomen kieli","Ser / Yug / Bos","Serbian"
"China / Singapore","Foochow","Sudan","Shilliuk"
"India / Ken / SA","Gujarati","Slo / Hun / Yug","Slovak"
"China / Sing","Hakka","Slov / Austria","Slovenian"
"Israel","Hebrew","Somali / Eth","Somali af Soomaali"
"Philippines","Hilihgaynon","TZ / Kenya / SA","Swahili Kiswahili"
"Laos","Hmong","Swe / Can / Fin","Swedish svenska"
"Hungary","Hungarian magyar","Middle East","Syriac"
"Philippines","Ilocano","India / Fiji","Telegu"
"Ireland","Irish","Tai / Singapore","Teochow"
"India","Kannada","East Timor","Tetun"
"Myan/Bur","Karen Sgaw","Eth / Eritrea","Tigrinya"
"Kazakhstan","Kazakh","Tonga / NZ","Tongan Faka-Tonga"
