"title","facility","location","shift type","date"
"please enable javascript filter jobs.","NULL","NULL","NULL","reset             $(function()    // set column widths: the total must not exceed total table width    var columnwidth =      title:400     location:'auto'     department:'auto'     facility:'auto'     shifttype:'auto'     state:'auto'     date:155    ;    $('#hdrtitle#filter-title.coltitle').width(columnwidth.title);    $('#hdrlocation#filter-location.collocation').width(columnwidth.location);    $('#hdrdepartment#filter-department.coldepartment').width(columnwidth.department);    $('#hdrfacility#filter-facility.colfacility').width(columnwidth.facility);    $('#hdrshifttype#filter-shiftype.colshifttype').width(columnwidth.shifttype);    $('#hdrstate#filter-title.colstate').width(columnwidth.state);    $('#hdrdate#filter-title.coldate').width(columnwidth.date);    $('#title#location#department#facility#shifttype#state').width('100%');    $('#date').width(columnwidth.date - 80);        var $headercolumn = $('#search-results-header th');    var $filtercolumn = $('#search-results-filter td');        // clear padding and margin on the filter and align the columns     $('#searchfilter').css(     padding:0     margin:0    );        // align items in grid    $($headercolumn'#searchresults td').css(     textalign:'left'     verticalalign:'top'    );        // poaition the submit and reset buttons    $('#searchfilter-submit#reset').css(     verticalalign:'middle'     marginleft:3     padding:0     position:'relative'     top:'-2px'    );    // filter handlers and styles    $filtercolumn     .children('input:text')     .addclass('searchfilter-input')     .css(      color:'#cccccc'      float:'left'      margin:0      padding:0     )     // text input focus handler     .focus(function()      $(this).css(color:'#000000');      if($(this).val().match('filter'))       $(this).val('');      ;     )     // enter key handler     .keypress(function(event)         if (event.keycode == 13)              $('#searchfilter').submit();              );        // fix display in some browsers    if( !($.browser.msie && $.browser.version < 8) )     $('.searchfilter-input').css(paddingright:5);        // submit handler    $('#searchfilter').submit(function()     $('.searchfilter-input').each(function()      if(!$(this).val().match('filter'))       $(this).clone(false).hide().appendto('#searchfilter');      ;     );    );       );"
"project mgr facilities cchs employees only job","fairview hospital","cleveland oh us","full time","feb 3 2012"
"mental health worker job","fairview hospital","cleveland oh us","prn","feb 3 2012"
"staff scheduling associate job","fairview hospital","cleveland oh us","prn","feb 2 2012"
"pas financial counselor job","fairview hospital","cleveland oh us","part time 40 hours or more","feb 2 2012"
"textile associate i job","fairview hospital","cleveland oh us","part time 40 hours or more","feb 2 2012"
"lpn meds cert hosp job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 27 2012"
"assistant chaplain job","fairview hospital","cleveland oh us","prn","jan 25 2012"
"respiratory therapist - external candidates only job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 25 2012"
"office specialist cchs employees only departmental personnel only job","fairview hospital","cleveland oh us","prn","jan 25 2012"
"rn - or job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 24 2012"
"asc or nurse job","fairview hospital","cleveland oh us","full time","jan 24 2012"
"clinical pharm resident job","fairview hospital","cleveland oh us","full time","jan 23 2012"
"lpn meds cert hosp cchs employees only departmental personnel only job","fairview hospital","cleveland oh us","part time 40 hours or more","jan 23 2012"
"clinical pharm resident job","fairview hospital","cleveland oh us","full time","jan 23 2012"
"clinical instructor ne job","fairview hospital","cleveland oh us","full time","jan 20 2012"
"medical assistant - community & main campus jobs job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 20 2012"
"rn - float pool job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 19 2012"
"business manager job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","full time","jan 19 2012"
"instrument processing t cchs employees only departmental personnel only job","fairview hospital","cleveland oh us","full time","jan 19 2012"
"rn - nursing operations manager - community and main campus job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 19 2012"
"lpn job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","full time","jan 19 2012"
"rn - rehab / skilled - community and main campus jobs job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 19 2012"
"patient care nursing assistant- community and main campus jo job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 19 2012"
"rn weekender - main & community hospitals job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","weekender","jan 18 2012"
"executive secretary-external candidates only job","cleveland clinic community hospitals & ne ohio centers","cleveland oh us","NULL","jan 18 2012"
