"Geburtsort","Geburtsdatum","birth place","label"
"","","","Easy Mo Bee"
"http://dbpedia.org/resource/Środa_Śląska","","","Eberhard Gothein"
"http://dbpedia.org/resource/Cleveland","","http://dbpedia.org/resource/Cleveland","Ed Montgomery (musician)"
"http://dbpedia.org/resource/New_Jersey","","http://dbpedia.org/resource/New_Jersey","Ed Murphy"
"","","","Ed Yong"
"http://dbpedia.org/resource/United_States","","","Eden Stiles"
"http://dbpedia.org/resource/Poland","1941-08-28","","Edgar Moron"
"http://dbpedia.org/resource/Valmiera","","","Edgars Briedis"
"http://dbpedia.org/resource/Jelgava","","","Edijs Jurēvics"
"http://dbpedia.org/resource/Augsburg","","","Edmund Daser"
"http://dbpedia.org/resource/Suffolk","1980","http://dbpedia.org/resource/Suffolk","Edward Kluz"
"http://dbpedia.org/resource/United_States","","http://dbpedia.org/resource/United_States","Effie Brown"
