"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"683141494","2012 Deauville American Film Festival","47952501","http://www.festival-deauville.com"
"683142616","2013 Deauville American Film Festival","47843118","http://www.festival-deauville.com"
"683143093","2014 Deauville American Film Festival","47683110","http://www.festival-deauville.com"
"664129827","第18届上海国际电影节","46803195",""
"682540960","2015 Toronto International Film Festival","45626799",""
"675174438","Athena Film Festival","46441786","http://athenafilmfestival.com/"
"669563326","Capital City Film Festival","46216587","http://www.capitalcityfilmfest.com"
"681929938","IndieGo Alley Festival","46968581","http://www.facebook.com/IndieGoAlleyFestival"
"681735548","LAエイガフェスト","47820896","http://www.laeigafest.com/"
"","Long Beach International Film Festival","47693455",""
"","SEOUL International Women's Film Festival","",""
"665805883","Festival Internacional de Cine de Viña del Mar","46471300","http://www.cinevina.cl/"
"677092945","11th Cinemalaya Independent Film Festival","47130394","http://www.cinemalaya.org/index.htm"
"680418187","1975 Deauville American Film Festival","47624332","http://www.festival-deauville.com"
"678013823","1976 Deauville American Film Festival","47625500","http://www.festival-deauville.com"
"678013948","1977 Deauville American Film Festival","47626072","http://www.festival-deauville.com"
"672363469","2003 Adelaide Film Festival","45403029",""
"667588217","2007 Adelaide Film Festival","45402932",""
"666842241","2009 Adelaide Film Festival","45346369",""
"672359569","2011 Adelaide Film Festival","45335109",""
