"label","birth place","Geburtsdatum","Geburtsort"
"Ben Sanders (author)","http://dbpedia.org/resource/Auckland","1989","http://dbpedia.org/resource/Auckland"
"Bence Peter","","1991-09-05",""
"Benny Lewis","","",""
"Bernhard Hoëcker","","1970-03-20","http://dbpedia.org/resource/Neustadt_an_der_Weinstraße"
"Beso Turazashvili","http://dbpedia.org/resource/Tbilisi","","http://dbpedia.org/resource/Tbilisi"
"Bharat Aggarwal","","",""
"Bhavani Thuraisingham","","",""
"Bianca Sánchez","http://dbpedia.org/resource/Montevideo","1995","http://dbpedia.org/resource/Montevideo"
"Biel Ballester","","","http://dbpedia.org/resource/Spain"
"Bignic","","",""
"Bill Ottman","http://dbpedia.org/resource/New_York_City","1985-11-02","http://dbpedia.org/resource/New_York_City"
"Blaccode","","","http://dbpedia.org/resource/Ondo_State"
