"birth place","label","Geburtsort"
"http://dbpedia.org/resource/Cleveland","Ed Montgomery (musician)","http://dbpedia.org/resource/Cleveland"
"http://dbpedia.org/resource/New_Jersey","Ed Murphy","http://dbpedia.org/resource/New_Jersey"
"","Ed Yong",""
"","Eden Stiles","http://dbpedia.org/resource/United_States"
"","Edgar Moron","http://dbpedia.org/resource/Poland"
"","Edgars Briedis","http://dbpedia.org/resource/Valmiera"
"","Edijs Jurēvics","http://dbpedia.org/resource/Jelgava"
"","Edmund Daser","http://dbpedia.org/resource/Augsburg"
"http://dbpedia.org/resource/Suffolk","Edward Kluz","http://dbpedia.org/resource/Suffolk"
"http://dbpedia.org/resource/United_States","Effie Brown","http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/St._Louis","Eileen Dreyer","http://dbpedia.org/resource/St._Louis"
"","Eleanor Palmer",""
