"reel no.","title","year of issue","file","file no."
"1000","smurfette","NULL","packet","NULL"
"1002","the flintstones","NULL","packet","NULL"
"1003","batman in the joker's wild","NULL","packet","NULL"
"1004","the amazing spider-man","NULL","packet","NULL"
"1005","peanuts in bon voyage charlie brown","1980","packet","NULL"
"1006","popeye","NULL","packet","NULL"
"1007","superman meets computer crook","NULL","packet","NULL"
"1008","g.i. joe","NULL","packet","NULL"
"1009","daffy duck","NULL","packet","NULL"
"1011","woody woodpecker","NULL","packet","NULL"
"1013","bugs bunny/porky pig/daffy duck","NULL","packet","NULL"
"1014","casper the friendly ghost","NULL","packet","NULL"
"1016","scooby doo in that's snow ghost","NULL","packet","NULL"
"1018","the pink panther","NULL","packet","NULL"
"1019","little orphan annie","NULL","packet","NULL"
"1020","godzilla","NULL","packet","NULL"
"1021","the incredible hulk","NULL","packet","NULL"
"1022","the sub-mariner","NULL","packet","NULL"
"1023","tweety &amp; sylvester","NULL","packet","NULL"
"1024","superstar barbie","NULL","packet","NULL"
"1025","doctor strange","NULL","packet","NULL"
"1026","the fantastic four","NULL","packet","NULL"
"1028","raggedy ann","NULL","packet","NULL"
"1029","the jetsons","NULL","packet","NULL"
"1030","spider-woman","NULL","packet","NULL"
"1031","bugs bunny/road runner","NULL","packet","NULL"
"1032","the smurfs&#xa0;#1","NULL","packet","NULL"
"1033","the smurfs&#xa0;#2","NULL","packet","NULL"
"1035","shirt tales","NULL","packet","NULL"
"1036","masters of the universe","1983","packet","NULL"
"1037","snoopy &amp; the red baron","NULL","packet","NULL"
"1038","it's a bird charlie brown","NULL","packet","NULL"
"1039","it's your first kiss charlie brown","NULL","packet","NULL"
"1040","inspector gadget","NULL","packet","NULL"
"1041","the biskitts","NULL","packet","NULL"
"1042","cabbage patch kids","NULL","packet","NULL"
"1043","rainbow brite","NULL","packet","NULL"
"1044","barbie","NULL","packet","NULL"
"1045","rose petal place","NULL","packet","NULL"
"1046","he-man &amp; the masters of the universe&#xa0;#2","NULL","packet","NULL"
"1047","hugga bunch","NULL","packet","NULL"
"1048","my little pony","NULL","packet","NULL"
"1050","my little pony","NULL","packet","NULL"
"1051","super powers","NULL","packet","NULL"
"1052","thundercats","NULL","packet","NULL"
"1053","the transformers","1985","packet","NULL"
"1054","wuzzles","NULL","packet","NULL"
"1055","voltron","NULL","packet","NULL"
"1056","mask","NULL","packet","NULL"
"1057","centurions","1987","packet","NULL"
"1058","silverhawks","NULL","packet","NULL"
"1059","jem","NULL","packet","NULL"
"1060","lazer tag","NULL","packet","NULL"
"1062","the real ghostbusters","NULL","packet","NULL"
"1064","superman","NULL","packet","NULL"
"1065","dennis the menace","NULL","packet","NULL"
"1066","flintstone kids","NULL","packet","NULL"
"1067","fraggle rock","NULL","packet","NULL"
"1069","looney tunes","NULL","packet","NULL"
"1072","happy birthday bugs bunny","NULL","packet","NULL"
"1073","teenage mutant ninja turtles&#xa0;i","NULL","packet","NULL"
"1074","beetlejuice","NULL","packet","NULL"
"1076","tiny toon adventures","NULL","packet","NULL"
"1077","bugs bunny &amp; tweety","NULL","packet","NULL"
"1079","scooby-doo","NULL","packet","NULL"
"1080","the flintstones","NULL","packet","NULL"
"1081","hammerman","NULL","packet","NULL"
"1084","ren &amp; stimpy","NULL","packet","NULL"
"1085","the x-men in captive hearts","NULL","packet","NULL"
"1086","batman the animated series","NULL","packet","NULL"
"1096","taz mania","NULL","packet","NULL"
"1097","the x-men in deadly reunions","NULL","packet","NULL"
"1103","bugs bunny down under australia","1994","packet","NULL"
"2001","goldilocks &amp; the three bears","NULL","packet","NULL"
"2003","the wizard of oz","NULL","packet","NULL"
"2004","a christmas carol","NULL","packet","NULL"
"2005","the night before christmas","NULL","packet","NULL"
"2006","mother goose","NULL","packet","NULL"
"2007","noah's ark","NULL","packet","NULL"
"2008","bible heroes","NULL","packet","NULL"
"2009","moses &amp; the ten commandments","NULL","packet","NULL"
"2010","rudolph the red-nosed reindeer","NULL","packet","NULL"
"2011","jesus christ","NULL","packet","NULL"
"2012","golden book","NULL","packet","NULL"
"2014","wolf man","NULL","packet","NULL"
"2015","curious george","NULL","packet","NULL"
"2016","eskimos of alaska","NULL","packet","NULL"
"2022","wonders of the deep","NULL","packet","NULL"
"2023","wild animals of the world","NULL","packet","NULL"
"2025","dinosaurs","1962","packet","NULL"
"2026","sharks","NULL","packet","NULL"
"2027","america's man in space","NULL","packet","NULL"
"2029","apollo moon landing 1969","NULL","packet","NULL"
"2038","indians of the southwest","NULL","packet","NULL"
"2039","the american indian","NULL","packet","NULL"
"2042","old trains","NULL","packet","NULL"
"2047","national air &amp; space museum smithsonian institution","NULL","packet","NULL"
"2048","horses","NULL","packet","NULL"
"2049","smithsonian museum of history &amp; technology","NULL","packet","NULL"
"2050","animals of our national parks","NULL","packet","NULL"
"2051","children's zoo san diego","NULL","packet","NULL"
"2052","national museum of natural history smithsonian institution","NULL","packet","NULL"
"2055","naval air museum","NULL","packet","NULL"
"2056","monkeys","NULL","packet","NULL"
"2058","tutankhamun: king tut the boy king","NULL","packet","NULL"
"2060","dragons &amp; other creatures metropolitan museum of art","NULL","packet","NULL"
"2069","era of the space shuttle","NULL","packet","NULL"
"2070","dungeons &amp; dragons","NULL","packet","NULL"
"2267","sesame street&#xa0;#2","NULL","packet","NULL"
"2362","star trek:&#xa0;the motion picture","NULL","packet","NULL"
"3000","the fox &amp; the hound","NULL","packet","NULL"
"3001","bambi","NULL","packet","NULL"
"3002","snow white &amp; the seven dwarfs","NULL","packet","NULL"
