"country","Wikipage page ID","Wikipage revision ID","language","label"
"http://dbpedia.org/resource/India","47073146","679959187","http://dbpedia.org/resource/English_language","Bunch of Thoughts"
"","47579767","677088854","","Bungō Stray Dogs"
"","47112477","669283984","","Butcher's Broom (book)"
"","","","","Call Me Dave"
"","47138210","682609205","","Champlain's Dream"
"http://dbpedia.org/resource/India","47574964","681271642","","Chithadantha"
"","47351762","674580585","","Christophorus magazine"
"","47819687","683265023","","Commander in Chief (novel)"
"","47573200","677477196","","Conflict and Conquest in the Islamic World"
"","47954364","","","Cooked: A Natural History of Transformation"
"","47782118","683980305","","Cow Country (novel)"
"","","","","Creativica"
"http://dbpedia.org/resource/United_States","47824542","681159011","","Crossroads in Time"
"","47589622","681519317","","Cruel Sky (novel)"
"","","","",""
"","","","",""
"","47869479","681888511","","Dagashi Kashi"
"India","47778099","680410904","http://dbpedia.org/resource/English_language","Dancing in Cambodia and at Large in Burma"
"","","","","Дата Туташхиа"
"","47756632","","","Daughter Of Sheena"
