"wissenschaftlicher name","deutscher name","he","so"
"aconitum lycoctonum","gelber eisenhut","3","r"
"aconitum napellus subsp. lusitanicum","neuberger eisenhut","v","0"
"adonis aestivalis","sommer-adonisr�schen","2","1"
"adonis flammea","flammen-adonisr�schen","0","0"
"agrostemma githago","kornrade","1","1"
"agrostis vinealis","sand-strau�gras","v","r"
"aira caryophyllea","nelken-schmielenhafer","v","v"
"aira praecox","fr�her schmielenhafer","2","2"
"ajuga chamaepitys","gelber g�nsel","2","1"
"ajuga pyramidalis","pyramiden-g�nsel","2","0"
"allium carinatum","gekielter lauch","0","0"
"allium rotundum","runder lauch","3","0"
"allium scorodoprasum","wilder lauch","v","0"
"allium sphaerocephalon","kugel-lauch","3","0"
"alopecurus aequalis","roter fuchsschwanz","*","r"
"althaea hirsuta","rauher eibisch","2","2"
"alyssum alyssoides","kelch-steinkraut","v","v"
"amelanchier ovalis subsp. embergeri","embergers felsenbirne","*","3"
"anagallis foemina","blauer gauchheil","3","2"
"anagallis minima","acker-kleinling","2","1"
"anemone sylvestris","gro�es windr�schen","3","2"
"antennaria dioica","gew�hnliches katzenpf�tchen","2","2"
"anthemis cotula","stinkende hundskamille","2","2"
"anthericum liliago","traubige graslilie","3","3"
"anthericum ramosum","�stige graslilie","3","0"
"anthriscus caucalis","hunds-kerbel","3","r"
"aphanes australis","kleinfr�chtiger ackerfrauenmantel","3","3"
"apium graveolens","echte sellerie","0","0"
"aquilegia vulgaris","gew�hnliche akelei","3","v"
"aristolochia clematitis","gew�hnliche osterluzei","v","2"
"armeria maritima subsp. elongata","gew�hnliche grasnelke","3","2"
"arnica montana","berg-wohlverleih","2","1"
"arnoseris minima","l�mmersalat","2","0"
"aruncus dioicus","wald-gei�bart","v","v"
"asperula arvensis","acker-meister","0","0"
"asperula cynanchica","h�gel-meister","v","v"
"asplenium adiantum-nigrum","schwarzer strichfarn","v","v"
"asplenium ceterach","milzfarn","*","3"
"asplenium scolopendrium","hirschzunge","r","r"
"asplenium septentrionale","nordischer strichfarn","*","v"
"asplenium viride","gr�ner strichfarn","2","u"
"aster amellus","kalk-aster","2","1"
"aster linosyris","gold-aster","3","1"
"aster tripolium","strand-aster","2","0"
"atocion armeria","echtes nelkenleimkraut","r","u"
"bassia laniflora","sand-radmelde","3","0"
"blysmus compressus","flache quellbinse","1","1"
"bothriochloa ischoemum","bartgras","0","0"
"botrychium lunaria","echte mondraute","3","2"
"botrychium matricariifolium","�stige mondraute","1","1"
"bromus arvensis subsp. arvensis","gew�hnliche acker-trespe","3","2"
"bromus grossus","spelz-trespe","0","0"
"bromus racemosus","traubige trespe","3","2"
"bromus secalinus","roggen-trespe","*","2"
"buglossioides arvensis subsp.arvensis","gew�hnlicher acker-steinsamegew�hnliche acker-rindszunge","3","2"
"buglossoides arvensis subsp.sibthorpiana","blauer acker-steinsame blaueacker-rindszunge","g","g"
"buglossoides purpurocaerulea","blauroter steinsame blauroterindszunge","v","0"
"bunium bulbocastanum","knollenk�mmel","v","3"
"bupleurum falcatum","sichelbl�ttriges hasenohr","v","0"
"bupleurum rotundifolium","acker-hasenohr","1","1"
"butomus umbellatus","schwanenblume","v","0"
"calamintha menthifolia","wald-bergminze","3","3"
"calendula arvensis","acker-ringelblume","0","0"
"calla palustris","schlangenwurz","3","0"
"callitriche palustris","sumpf-wasserstern","g","d"
"camelina microcarpa","kleinfr�chtiger leindotter","3","1"
"campanula cervicaria","borstige glockenblume","2","0"
"campanula latifolia","breitbl�ttrige glockenblume","*","3"
"carex appropinquata","gedr�ngt�hrige segge","2","2"
"carex canescens","grau-segge","3","3"
"carex cespitosa","rasen-segge","2","1"
"carex davalliana","davalls segge","2","1"
"carex demissa","aufsteigende gelbsegge","*","v"
"carex diandra","draht-segge","1","0"
"carex dioica","zweih�usige segge","0","0"
"carex distans","l�cken-segge","2","2"
"carex echinata","stern-segge","v","v"
"carex elata","steife segge","v","r"
"carex elongata","walzen-segge","*","v"
"carex flava","echte gelb-segge","2","2"
"carex hartmanii","hartmans segge","3","3"
"carex hordeistichos","gersten-segge","1","0"
"carex hostiana","saum-segge","1","1"
"carex humilis","erd-segge","*","3"
"carex lasiocarpa","faden-segge","2","0"
"carex lepidocarpa","schuppenfr�chtige gelb-segge","2","2"
"carex limosa","schlamm-segge","1","0"
"carex ornithopoda","vogelfu�-segge","v","2"
"carex otrubae","hain-fuchssegge","v","v"
"carex paniculata","rispen-segge","v","3"
"carex pseudocyperus","scheinzypergras-segge","3","3"
"carex pulicaris","floh-segge","2","1"
"carex rostrata","schnabel-segge","v","v"
"carex tomentosa","filz-segge","3","3"
"carex vulpina","echte fuchssegge","3","3"
"carlina acaulis subsp. caulescens","hohe silberdistel","3","3"
"catabrosa aquatica","quellgras","2","0"
"caucalis platycarpos","m�hren-haftdolde","2","1"
"centaurea pseudophrygia","per�cken-flockenblume","3","0"
"centaurium pulchellum","kleines tausendg�ldenkraut","3","2"
"cephalanthera longifolia","schwertbl�ttriges waldv�glein","3","3"
"cephalanthera rubra","rotes waldv�glein","3","3"
"chenopodium bonus-henricus","guter heinrich","2","1"
"chenopodium murale","mauer-g�nsefu�","2","0"
"chenopodium opulifolium","schneeballbl�ttriger g�nsefu�","3","0"
"chenopodium urbicum","stra�en-g�nsefu�","1","0"
"chimaphila umbellata","winterlieb","1","u"
"chondrilla juncea","binsen-knorpelsalat","*","v"
"cicendia filiformis","fadenenzian","0","0"
"cirsium acaule","st�ngellose kratzdistel","v","v"
"cirsium tuberosum","knollige kratzdistel","3","0"
"clematis recta","aufrechte waldrebe","0","0"
"coeloglossum viride","hohlzunge","2","2"
"comarum palustre","blutauge","2","2"
"conium maculatum","gefleckter schierling","*","r"
"conringia orientalis","orientalischer ackerkohl","2","1"
"consolida regalis","acker-rittersporn","3","2"
"corallorhiza trifida","korallenwurz","3","3"
"corrigiola litoralis","hirschsprung","3","u"
