"world rank","city","country","city            population","metro            population","mayor"
"n/r","aachen","germany","259000","1240000","marcel philipp"
"56","abidjan","ivory coast","3800000","4000000","pierre dj&eacute;dji amondji"
"451","abu dhabi","uae","897000","","khalifa bin zayed al nahyan"
"509","abuja","nigeria","779000","900000","muhammad adamu aliero"
"529","acapulco","mexico","718000","880000","manuel a&ntilde;orve bola&ntilde;os"
"192","accra","ghana","1605000","2756000","alfred vanderpuije"
"484","ad-dammam","saudi arabia","813000","2051000","dhaifallah al-'utaybi"
"340","adana","turkey","1162000","1556000","ayta&ccedil; durak"
"70","addis ababa","ethiopia","3385000","4568000","kuma demeksa"
"296","adelaide","australia","1290000","","stephen yarwood"
"184","agra","india","1650000","1800000","anjula singh mahaur"
"558","aguascalientes","mexico","664000","701000","gabriel arellano espinoza"
"45","ahmadabad","india","4525000","6168000","kanaji thakor"
"282","ahwaz","iran","1338000","1500000","saeed mombeini"
"n/r","al-hufuf","saudi arabia","286000","784000","n/k"
"n/r","albany","usa","96000","1100000","gerald jennings"
"120","aleppo","syria","2360000","3000000","ma'an al-shibli"
"52","alexandria","egypt","4110000","4350000","adel labib"
"211","algiers","algeria","1520000","3354000","tayeb zitouni"
"549","aligarh","india","680000","1116000","n/k"
"320","allahabad","india","1215000","1250000","jitendr nath singh"
"244","almaty","kazakhstan","1420000","1500000","akhmetzhan yesimov"
"146","amman","jordan","1919000","2524000","omar maani"
"552","amravati","india","678000","1031000","n/k"
"329","amritsar","india","1195000","1300000","shawet malik"
"515","amsterdam","netherlands","762000","1536000","eberhard van der laan"
"521","ankang","china","743000","","n/k"
"57","ankara","turkey","3764000","4000000","melih g&ouml;k&ccedil;ek"
"322","anqiu","china","1200000","","n/k"
"297","anshan","china","1290000","2404000","n/k"
"447","antananarivo","madagascar","903000","1403000","n/k"
"n/r","antwerp","belgium","444000","948000","patrick janssens"
"233","anyang","china","1450000","3000000","zhang xiaodong"
"443","arequipa","peru","905000","","sim&oacute;n balbuena marroqu&iacute;n"
"n/r","asmara","eritrea","392000","881000","n/k"
"496","astana","kazakhstan","803000","","imangali tasmagambetov"
"592","asuncion","paraguay","546000","1433000","evangelista troche de gallegos"
"518","athens","greece","757000","3216000","giorgos kaminis"
"598","atlanta","usa","538000","3500000","kasim reed"
"n/r","auckland","new zealand","428000","1333000","len brown"
"n/r","augsburg","germany","263000","","kurt gribl"
"339","aurangabad","india","1168000","","vijaya rahatkar"
"548","austin","usa","681000","1185000","lee leffingwell"
"32","baghdad","iraq","6050000","6500000","sabir al-issawi"
"138","baku","azerbaijan","2040000","2072000","hajibala abutalybov"
"556","baltimore","usa","667000","2670000","stephanie c. rawlings-blake"
"158","bamako","mali","1809000","","adama b. sangar&eacute;"
"522","bandar lampung","indonesia","743000","1123000","n/k"
"106","bandung","indonesia","2510000","3829000","dada rosada"
"33","bangalore","india","5840000","6562000","sk nataraj"
"13","bangkok","thailand","9100000","11970000","sukhumbhand paribatra"
"560","bangui","central african republic","652000","789000","n/k"
"413","baoding","china","997000","","n/k"
"109","baoshan","china","2500000","","xiong qinghua"
"287","baotou","china","1318000","1750000","hu ercha"
"182","barcelona","spain","1673000","3890000","jordi hereu"
"214","barquisimeto","venezuela","1500000","1500000","amalia saez"
"294","barranquilla","colombia","1298000","1871000","alejandro char chaljub"
"168","basrah","iraq","1760000","3800000","jabbar jaber al-latif"
"331","bazhong","china","1186000","","n/k"
"4","beijing","china","12460000","17550000","guo jinlong"
"390","beiliu","china","1050000","","n/k"
"309","beirut","lebanon","1250000","2600000","abdel mounim ariss"
"251","belem","brazil","1409000","1913000","duciomar costa"
"335","belgrade","yugoslavia","1182000","1630000","dragan dillas"
"114","belo horizonte","brazil","2453000","5397000","marcio lacerda"
"490","bengbu","china","809000","3470000","chen qitao"
"226","benghazi","libya","1471000","1500000","n/k"
"389","benin","nigeria","1051000","1052000","n/k"
"473","benxi","china","830000","1567000","gang rui"
"68","berlin","germany","3432000","3943000","klaus wowereit"
"583","bhilai","india","564000","942000","n/k"
"231","bhopal","india","1458000","1600000","krishna gaur"
"559","bhubaneswar","india","659000","1455000","n/k"
"n/r","bielefeld","germany","324000","1420000","peter clausen"
"353","bijie","china","1130000","7188000","n/k"
"n/r","bilbao","spain","351000","879000","i&ntilde;zki azkuna"
"401","birmingham","uk","1017000","2284000","mike whitby"
"n/r","birmingham","usa","245000","1200000","william a. bell"
"513","bishkek","kyrgyzstan","765000","800000","nariman tuleyev"
"460","bogor","indonesia","866000","","diani budiarto"
"25","bogota","colombia","7320000","8361000","samuel moreno rojas"
"n/r","bordeaux","france","250000","1010000","alain jupp&eacute;"
"566","boston","usa","621000","4033000","thomas menino"
"n/r","bouakt","ivory coast","531000","775000","n/k"
"275","bozhou","china","1352000","","liu jian"
"134","brasilia","brazil","2089000","2090000","jos&eacute; roberto arruda"
"n/r","bratislava","slovak republic","431000","550000","milan ft&aacute;cnik"
"n/r","braunschweig","germany","246000","","gert hoffmann"
"352","brazzaville","congo br","1133000","1134000","n/k"
"590","bremen","germany","547000","1009000","jens b&ouml;hrnsen"
"204","brisbane","australia","1544000","1544000","campbell newman"
"n/r","bruges","belgium","117000","","patrick moenaert"
"427","brussels","belgium","958000","1740000","freddy thielemans"
"595","bucaramanga","colombia","542000","956000","n/k"
"140","bucharest","romania","1994000","2151000","sorin oprescu"
"465","bucheon","south korea","850000","850000","n/k"
"175","budapest","hungary","1712000","2503000","istv&aacute;n tarl&oacute;s"
"6","buenos aires","argentina","11655000","12924000","mauricio macri"
"n/r","buffalo","usa","296000","1572000","byron brown"
"553","bulawayo","zimbabwe","676000","676000","thaba moyo"
"253","bursa","turkey","1400000","3190000","recep altepe"
"63","busan","south korea","3600000","4292000","hur nam-sik"
"21","cairo","egypt","7764000","15546000","abdul azim wazir"
