"Country","Code","Currency","For entries lodged on 19/10/2009 to 01/11/2009 (inclusive)","For entries lodged on 02/11/2009 to 15/11/2009 (inclusive)"
"Australia","AUD","Australian Dollar","0.82","0.81"
"Canada","CAD","Canada - Dollar","0.77","0.79"
"Chile","CLP","Chile - Peso","399.34","403.80"
"China Peoples Republic of","CNY","China - Renminbi or Yuan","4.90","5.03"
"Denmark","DKK","Denmark - Krone","3.65","3.71"
"Egypt","EGP","Egypt - Egyptian Pound","3.93","4.04"
"European Union","EUR","Euro","0.49","0.50"
"Fiji","FJD","Fiji - Fijiian Dollar","1.36","1.40"
"French Polynesia","XPF","French Polynesia - Franc","58.84","59.69"
"Hong Kong (Special Admin Reg)","HKD","Hong Kong Dollar","5.60","5.83"
"India","INR","India - Rupee","33.31","34.38"
"Israel","ILS","Israel - Shekel","2.70","2.73"
"Japan","JPY","Japan - Yen","63.81","68.23"
"Korea Republic of","KRW","Korea - Won","841.00","860.00"
"Mexico","MXN","Mexico - Peso","9.77","9.66"
"Norway","NOK","Norway - Krone","4.11","4.14"
"Pakistan","PKR","Pakistan - Rupee","59.62","52.07"
"Papua New Guinea","PGK","Papua New Guinea - Kina","1.80","1.83"
"Philippines","PHP","Phillippines - Peso","33.21","34.66"
"Samoa","WST","Western Samoa - Tala","1.81","1.77"
"Singapore","SGD","Singapore - Singapore Dollar","1.01","1.04"
"South Africa","ZAR","South Africa - Rand","5.33","5.51"
"Sri Lanka","LKR","Sri Lanka - Rupee","82.68","85.99"
"Sweden","SEK","Sweden - Krona","5.06","5.11"
"Switzerland","CHF","Switzerland - Franc","0.75","0.76"
"Taiwan","TWD","Taiwan - Taiwanese Dollar","23.16","23.82"
"Thailand","THB","Thailand - Baht","23.71","24.68"
"Tonga","TOP","Tonga - Pa'anga","1.33","1.36"
"United Kingdom","GBP","Pound","0.45","0.45"
"United States of America","USD","United States Dollar","0.72","0.75"
