"Wikipage revision ID","label","Wikipage page ID"
"682611826","Bila river (Bosnia)","47920768"
"","Murder Creek","47215253"
"675908989","Todzie River","47274362"
"680730494","Reyran River","47727531"
"","Aan River",""
"","Abakan River",""
"","Abba River",""
"","Abe River",""
"","Abercrombie River",""
"","Aberdeen Channel",""
"","Aberfoyle River",""
"","Abra (Fluss)",""
"","Abukuma River",""
"","Abulog",""
"","Achankovil",""
"","Río Acheron",""
"","Adcock River",""
"","Adelaide River",""
"","Río Adyar",""
"","Agano River",""
