"Wikipage page ID","Link from a Wikipage to an external page","Wikipage revision ID","label"
"31237981","http://konulab.fen.bilkent.edu.tr/mirna","637933371","MESAdb"
"17443233","http://www.phosida.com","617909411","Phosida"
"","","","SNPedia"
"21423678","http://consensuspathdb.org","673334607","ConsensusPathDB"
"23167397","http://www.gencodegenes.org","675431757","GENCODE"
"","","","Medical Subject Headings"
"","","","IARP"
"31521569","http://www.agbase.msstate.edu/","678223108","AgBase"
"34261699","http://webapps2.ucalgary.ca/~groupii/index.html#","638079361","Database for bacterial group II introns"
"34275630","http://www.noncode.org","641450217","NONCODE"
"","","","TMPad"
"","","","オートファジーデータベース"
"33373383","http://jjwanglab.org/gwasdb","653753851","GWASdb"
"31368314","http://isobase.csail.mit.edu/","649528804","IsoBase"
"","","","Classification of mobile genetic elements"
"31707910","http://www.ittc.ku.edu/chenlab","637932224","KUPS (database)"
"7404657","http://baderlab.org/","640673592","Netpath"
"30423565","http://srs6.bionet.nsc.ru/srs6/","637934417","Nucleosome positioning region database"
"","","","Peroxiredoxin classification index"
"30368248","http://diprodb.fli-leibniz.de","624933170","DiProDB"
