"NULL","NULL","NULL"
"1","amelander vuurtoren","hollum (ameland)"
"2","amerongs tabak en historisch museum","amerongen"
"3","luchtvaart &amp; oorlogsmuseum texel","de cocksdorp (texel)"
"4","museumboerderij west-frisia","hoogwoud"
"5","foam - fotografiemuseum amsterdam","amsterdam"
"6","belasting &amp; douane museum","rotterdam"
"7","natuurhistorisch museum maastricht","maastricht"
"8","museum kempenland","eindhoven"
"9","beelden op beerschoten","de bilt"
"10","stedelijk museum de lakenhal","leiden"
"11","museum volkenkunde","leiden"
"12","ferdinand domela nieuwenhuis museum","heerenveen"
"13","droogdok jan blanken","hellevoetsluis"
"14","snuif- en specerijenmolens de ster en de l","rotterdam"
"15","museum mesdag","den haag"
"16","de dubbelde palmboom","rotterdam"
"17","het museum van het nederlandse uurwerk","zaandam"
"18","beurs van berlage","amsterdam"
"19","natuurhistorisch en volkenkundig museum ouden","oudenbosch"
"20","museum stedh&ucirc;s sleat","sloten"
"21","markt12","aalten"
"22","museum de fundatie","heino/wijhe"
"23","bijbels museum","amsterdam"
"24","gelders geologisch museum","velp"
"25","westlands museum voor streek- en tuinbouwhist","westland"
"26","winkeltje kouwenhoven","delft"
"27","comenius museum","naarden"
"28","de appel","amsterdam"
"29","rijksmuseum twenthe","enschede"
"30","museum waalsdorp (tno)","den haag"
"31","chabot museum","rotterdam"
"32","geologisch museum","amsterdam"
"33","bakkerijmuseum de oude bakkerij","medemblik"
"34","nationaal glasmuseum leerdam","leerdam"
"35","liemers museum","zevenaar"
"36","volksbuurtmuseum wijk c","utrecht"
"37","museum gouda","gouda"
"38","museum voor communicatie","den haag"
"39","museum willem van haren","heerenveen"
"40","aviodrome","lelystad"
"41","de locht","horst-melderslo"
"42","museum m&oslash;hlmann","appingedam"
"43","museum jacobs van den hof","amersfoort"
"44","keramiekmuseum princessehof","leeuwarden"
"45","museum van loon","amsterdam"
"46","museum de cruquius","cruquius"
"47","museum het schip","amsterdam"
"48","kasteel-museum sypesteyn","loosdrecht"
"49","zandvoorts museum","zandvoort"
"50","de casteelse poort","wageningen"
"51","louis couperus museum","den haag"
"52","openluchtmuseum eynderhoof","eind"
"53","limburg schutterij museum","steyl"
"54","nationaal landschapskundig museum en document","dordrecht"
"55","valkerij en sigarenmakerij museum","valkenswaard"
"56","museum henriette polak","zutphen"
"57","tabaks historisch museum delft","delft"
"58","twentsewelle","enschede"
"59","museum rockart","hoek van holland"
"60","scheepswerf de delft","rotterdam"
"61","natuurmuseum nijmegen","nijmegen"
"62","scheepvaartmuseum noordelijk","groningen"
"63","mariniersmuseum der koninklijke marine","rotterdam"
"64","graafs museum","grave"
"65","uva computer museum","amsterdam"
"66","oudheidkamer weststellingwerf","wolvega"
"67","historische tuin aalsmeer","aalsmeer"
"68","stadsarchief amsterdam","amsterdam"
"69","nederlands scheepvaartmuseum amsterdam","amsterdam"
"70","drukkerijmuseum meppel","meppel"
"71","nederlands openluchtmuseum","arnhem"
"72","american motorcycle museum","raalte"
"73","ijmuider zee- en havenmuseum de visserijscho","ijmuiden"
"74","de axelse molen","axel"
"75","het nederlands stripmuseum groningen","groningen"
"76","oorlogsmuseum gdynia","axel"
"77","historisch openluchtmuseum eindhoven","eindhoven"
"78","museum schokland","schokland"
"79","ssn museumstoomdepot","rotterdam"
"80","pijpenkabinet &amp; smokiana","amsterdam"
"81","mosterdmuseum almen","almen"
"82","scoutingmuseum baarn","baarn"
"83","stadsgalerij heerlen","heerlen"
"84","kasteel duivenvoorde","voorschoten"
"85","nationaal brandweermuseum hellevoetsluis","hellevoetsluis"
"86","smederijmuseum helledoorn","hellendoorn"
"87","het vlaemsche erfgoed","groede"
"88","museum arnemuiden","arnemuiden"
"89","nederlands instituut voor militaire historie","den haag"
"90","twents techniekmuseum","hengelo"
"91","visserijmuseum","vlaardingen"
"92","schaatsmuseum pannekoekhuis schilderkunst de","hindelopen"
"93","schriftmuseum j.a. dortmond","amsterdam"
"94","huis marseille - museum for photography","amsterdam"
"95","geschiedkundige vereniging oranje-nassau (voo","apeldoorn"
"96","hortus haren","haren"
"97","noordelijk busmuseum","winschoten"
"98","nat baggermuseum","sliedrecht"
"99","oldtimermuseum de rijke","oostvoorne"
"100","oudheidkamer uithuizermeeden","uithuizermeeden"
"101","industrion","kerkrade"
"102","mar en klif","oudemirdum"
"103","paleis het loo nationaal museum","apeldoorn"
"104","oude ambachten en speelgoed museum","terschuur"
"105","stadhuismuseum","zierikzee"
"106","museum kasteel henkenshage","sint-oedenrode"
"107","nederlands spoorwegmuseum","utrecht"
"108","hortus botanicus amsterdam","amsterdam"
"109","historisch museum den briel","brielle"
"110","galerie 37 spaarnestad","haarlem"
"111","museum jan heestershuis","schijndel"
"112","polderhuis westkapelle - dijk- en oorlogsmuse","westkapelle"
"113","oude kerk","amsterdam"
"114","spaarnestad photo","haarlem"
"115","nationaal smalspoormuseum","valkenburg"
"116","historisch museum haarlem","haarlem"
"117","historisch museum deventer","deventer"
"118","historisch museum haarlemmermeer","hoofddorp"
"119","ruurd wiersma h&ucirc;s","burdaard"
"120","sexmuseum amsterdam","amsterdam"
"121","olympic experience amsterdam","amsterdam"
"122","de watertoren","axel"
"123","coda museum","apeldoorn"
"124","zuiderzeemuseum","enkhuizen"
"125","museum de historische drukkerij","maastricht"
"126","fries museum","leeuwarden"
"127","de fabriek","eindhoven"
"128","museum slot zuylen","oud-zuilen"
"129","galerie 23 - hedendaagse afrikaanse kunst","amsterdam"
"130","historisch museum hazerswoude","hazerswoude-dorp"
"131","nederlands elektriciteitsmuseum + radiotron","hoenderloo"
"132","nationaal vlasserij-suikermuseum","klundert"
"133","purmerends museum","purmerend"
"134","vughts historisch museum","vught"
