"label","Wikipage page ID"
"2015 Distal & ITR Group Tennis Cup","47783653"
"2015 Dockerty Cup","47017678"
"2015 EMF miniEURO",""
"Emirates Cup 2015",""
"Empire Slovak Open 2015",""
"2015 Engie Open de Biarritz",""
"Fechteuropameisterschaften 2015","46873201"
"نهائي كأس العالم للسيدات 2015",""
"Fergana Challenger 2015","46969972"
"Garden Open 2015","46593619"
"Nürnberger Gastein Ladies 2015",""
"2015 Generali Ladies Linz",""
"Hall of Fame Tennis Championships 2015",""
"Hardee’s Pro Classic 2015",""
"Neckarcup 2015","46779385"
"2015 IAAF World Relays","46388941"
"2015 Internacional Femenil Monterrey",""
"J&T Banka Prague Open 2015",""
"Zurich Jalisco Open presentado por Aeromexico y Lacoste 2015","46431785"
"Kasachischer Fußballpokal 2015","46529362"
