"Language","Language","Title"
"Bulgarian","Bulgarian","????? ? ???? ???? (Stani i smel b?di)"
"Czech","Czech","Tak st?j! za svou pravdou st?j!"
"Danish","Danish","St? fast! P? det du tror"
"Dutch","Dutch","Sta Sterk! Wees voorbereid"
"Finnish","Finnish","N?yt?! Tie totuuden!"
"European French","European French","Oui fonce! Pour la justice"
"German","German","Komm steh f?r's Gute ein!"
"Hebrew","Hebrew","????? ???? ?????"
"Hungarian","Hungarian","Kell most p?r var?zssz?"
"Italian","Italian","Con me combatterai!"
"Norwegian","Norwegian","St? fast! P? det du tror"
"Polish","Polish","Wi?c walcz! I nie b?j si?!"
"Portuguese","Brazil","Ent?o V?! Voc? vai acertar"
"Portuguese","Portugal","Combate Renhido"
"Romanian","Romanian","Stai sus!"
"Spanish","Latin America","?Hazlo! No dudes ya"
"Spanish","Spain","?Luchar! Por la verdad"
"Swedish","Swedish","Ta strid! F?r alla s?tt"
"NULL","NULL","NULL"
