"year","game","genre","platform(s)","developer(s)"
"2011","batman: arkham city[131]","{action-adventure|brawler|stealth}","{playstation 3|xbox 360}","rocksteady studios"
"2010","{super mario galaxy 2|[132]}","platformer","wii","nintendo ead tokyo development group"
"2009","{uncharted 2: among thieves|[133]}","{action-adventure|third-person|shooter}","playstation 3","naughty dog"
"2008","grand theft auto iv","{open world|third-person|shooter}","{windows|playstation 3|xbox 360}","rockstar north"
"2007","super mario galaxy","platformer","wii","nintendo"
"2006","the legend of zelda: twilight princess","action-adventure","{wii|nintendo gamecube}","nintendo"
"2005","resident evil 4","{survival horror|third-person|shooter}","{gamecube|playstation 2|windows|wii}","capcom"
"2004","half-life 2","{first-person|shooter}","{windows|xbox|xbox 360|playstation 3}","valve"
"2003","the legend of zelda: the wind waker","{action-adventure|open world}","gamecube","nintendo ead"
"2002","metroid prime","{action-adventure|first-person|shooter}","{gamecube|wii}","{retro studios|nintendo}"
"2001","grand theft auto iii","{action-adventure|open world}","{playstation 2|windows|xbox}","dma design"
"2000","perfect dark","{first-person|shooter}","nintendo 64","{rare|nintendo}"
"1999","soulcalibur","{fighting|hack &amp; slash}","dreamcast","namco"
"1998","the legend of zelda: ocarina of time","{action-adventure|open world}","nintendo 64","nintendo ead"
"1997","goldeneye 007","{first-person|shooter}","nintendo 64","{rare|nintendo}"
"1996","super mario 64","{platformer|open world}","{nintendo 64|ique player|nintendo ds|virtual console}","nintendo ead"
