"species","no days","max","sites"
"pacific diver","2","3","momt"
"pied-billed grebe","6","20+","various"
"black-necked grebe","2","100+","slml"
"western grebe","5","5","venturaesslssfl"
"clark's grebe","3","5+","venturaesss"
"black-footed albatross","1","20","mt"
"northern fulmar","2","20+","sta barbaramt"
"pink-footed shearwater","2","50","sta barbaramt"
"sooty shearwater","4","400","sta barbara mombmt"
"ashy storm petrel","1","4","mt"
"double-crested cormorant","10","n/c","various"
"brandt's cormorant","6","n/c","scmombbsmtpppl"
"pelagic cormorant","3","n/c","mobsmt"
"neotropical cormorant","1","1","fl"
"american white pelican","4","30+","mombmsss"
"brown pelican","10","200+","various"
"snowy egret","8","10+","various"
"great blue heron","10","20+","various"
"great white egret","9","100+","various"
"cattle egret","3","200+","mdsscffl"
"species","no days","max","sites"
"green heron","3","2","mbssbr"
"black-crowned night-heron","7","5+","various"
"white-faced ibis","4","500+","ccsscffl"
"canada goose","5","10","various"
"cackling goose","1","1","cc"
"ross's goose","1","2","cc"
"wood duck","2","4","accl"
"american wigeon","1","4","sl"
"gadwall","2","6","slfl"
"green-winged teal","1","2+","sl"
"mallard","9","50+","various"
"northern pintail","2","15+","slss"
"blue-winged teal","4","5","slorsscl"
"cinnamon teal","1","6","sl"
"northern shoveler","2","20+","slss"
"redhead","1","1","sl"
"ring-necked duck","1","1","sl"
"surf scoter","1","1","bs"
"bufflehead","1","1","sl"
"red-breasted merganser","1","2+","ss"
"species","no days","max","sites"
"ruddy duck","2","100+","slcl"
"california condor","1","1","bs"
"turkey vulture","13","500+","various"
"white-tailed kite","3","7","slbrol"
"bald eagle","1","1","ym"
"golden eagle","3","5+","bsymbb"
"northern harrier","5","3","esmlssbrol"
"sharp-shinned hawk","6","2","various"
"cooper's hawk","2","2","ccol"
"red-shouldered hawk","3","3","nfmbol"
"swainson's hawk","1","1","cc"
"red-tailed hawk","14","20+","various"
"osprey","4","3","mbssflclol"
"american kestrel","10","10","various"
"merlin","1","1","cl"
"prairie falcon","2","1","ymss"
"peregrine falcon","6","2","various"
"sooty grouse","1","3+","ym"
"greater sage grouse","1","20+","or"
"gambel's quail","2","10","sbbr"
"species","no days","max","sites"
"california quail","4","50+","acmomb"
"wild turkey","3","30+","aclmjulian"
"clapper rail","1","1","tj"
"virginia rail","2","2","esbm"
"sora rail","2","2+","esfl"
"common gallinule","1","1","fl"
"american coot","5","500+","slccssflcl"
"black oystercatcher","4","10+","scmopppl"
"black-necked stilt","3","40+","ssfl"
"american avocet","3","50+","ssfl"
"pacific golden plover","1","1","tj"
