"label","Geburtsort"
"Willie Obiano","http://dbpedia.org/resource/Anambra"
"Rosana Bertone","http://dbpedia.org/resource/Entre_Ríos_Province"
"Seyid Mehdi Ghoreishi","http://dbpedia.org/resource/Iran"
"Toyin Saraki",""
"Willy Lasut",""
"Khalil Boyukzadeh",""
"Mark Herdman","http://dbpedia.org/resource/Scotland"
"Matías de Armona",""
"Mehrangiz Morovvati","http://dbpedia.org/resource/Iran"
"Mir Asadollah Madani",""
"Mohammed Abdullahi Abubakar",""
"Seyid Esmaeil Mousavi Zanjani",""
"Alpheus Felch",""
"Amen Edore Oyakhire",""
"Anne Bouquet",""
"Arthur Havelock",""
"Daud Shah Saba",""
"Diego Silang",""
