"Wikipage page ID","Link from a Wikipage to an external page","city","Wikipage revision ID","ballpark","label","current league","owners"
"15687133","http://www.baseball-reference.com/teams/IND/1888.shtml","http://dbpedia.org/resource/Indianapolis","678490892","http://dbpedia.org/resource/Tinker_Park","1888 Indianapolis Hoosiers season","National League","http://dbpedia.org/resource/John_T._Brush"
"15655996","http://www.baseball-reference.com/teams/PHA/1888.shtml","http://dbpedia.org/resource/Philadelphia","679192311","http://dbpedia.org/resource/Jefferson_Street_Grounds","1888 Philadelphia Athletics season","American Association American Association","http://dbpedia.org/resource/Bill_Sharsig"
"15702894","http://www.baseball-reference.com/teams/CLE/1889.shtml","http://dbpedia.org/resource/Cleveland","678486395","http://dbpedia.org/resource/National_League_Park","1889 Cleveland Spiders season","National League",""
"15687155","http://www.baseball-reference.com/teams/IND/1889.shtml","http://dbpedia.org/resource/Indianapolis","678486433","http://dbpedia.org/resource/Tinker_Park","1889 Indianapolis Hoosiers season","National League","http://dbpedia.org/resource/John_T._Brush"
"15656016","http://www.baseball-reference.com/teams/PHA/1889.shtml","http://dbpedia.org/resource/Philadelphia","679197209","http://dbpedia.org/resource/Jefferson_Street_Grounds","1889 Philadelphia Athletics season","American Association American Association","http://dbpedia.org/resource/Bill_Sharsig"
"15706234","http://www.baseball-reference.com/teams/BOS/1890.shtml","http://dbpedia.org/resource/Boston","678996621","http://dbpedia.org/resource/Congress_Street_Grounds","1890 Boston Reds season","",""
"15705496","http://www.baseball-reference.com/teams/BRG/1890.shtml","http://dbpedia.org/resource/Brooklyn","679204916","http://dbpedia.org/resource/Ridgewood_Park_(baseball_ground)","1890 Brooklyn Gladiators season","American Association American Association",""
"15705667","http://www.baseball-reference.com/teams/CHI/1890.shtml","http://dbpedia.org/resource/Chicago","678996814","http://dbpedia.org/resource/South_Side_Park","1890 Chicago Pirates season","Players' League","John Addison"
"15702918","http://www.baseball-reference.com/teams/CLV/1890.shtml","http://dbpedia.org/resource/Cleveland","678471491","http://dbpedia.org/resource/National_League_Park","1890 Cleveland Spiders season","National League",""
"15705873","http://www.baseball-reference.com/teams/PHQ/1890.shtml","http://dbpedia.org/resource/Philadelphia","678997025","http://dbpedia.org/resource/Forepaugh_Park","1890 Philadelphia Athletics (PL) season","Players' League","http://dbpedia.org/resource/J._Earl_Wagner"
"15656075","http://www.baseball-reference.com/teams/PHA/1890.shtml","http://dbpedia.org/resource/Philadelphia","679205016","http://dbpedia.org/resource/Jefferson_Street_Grounds","1890 Philadelphia Athletics season","American Association American Association","http://dbpedia.org/resource/Bill_Sharsig"
"15702960","http://www.baseball-reference.com/teams/CLV/1891.shtml","http://dbpedia.org/resource/Cleveland","678397215","http://dbpedia.org/resource/League_Park","1891 Cleveland Spiders season","National League",""
