"country","area km","Wikipage revision ID","label","elevation m","Wikipage page ID"
"Canada","115","673582922","Goat Range (Kananaskis)","3109","47370868"
"","","683311558","Houston Lake (Georgia)","","47959027"
"","","","","",""
"","","680173730","Kleiner Odenwald","567.8","47728387"
"","","","Lake Pilchicocha","",""
"","","678093267","Lange Berge","","47365798"
"","","683901340","Lattengebirge","","48014368"
"","","","Limpurg Hills","","47736998"
"","","669102719","Lovill's Creek Lake","","47102629"
"","","","","",""
"","","680133665","Mainhardt Forest","","47712875"
"","1.385","679440926","Manno Lake","","47687028"
"","","678081514","Mons Moro","","47639567"
"","","683940793","Mount Kalourat","1435","47640897"
"","","679583385","Mynäjärvi","","47720525"
"","","680617821","Parker Pond","","47789879"
"","","674098893","Passo Garlenda","2021","47375790"
"","","680422236","Rammert","","47706550"
"","","680730494","Reyran River","","47727531"
"Colombia","","683897685","Serranía de Los Motilones","","48014379"
