"{|page}","{|order}","{|family}","{|genus &amp; species}","{|common name}","{|bna no.}"
"003.1","gaviiformes","gaviidae","gavia stellata","red-throated      loon","513"
"003.2","gaviiformes","gaviidae","gavia arctica","arctic loon","657"
"004.1","gaviiformes","gaviidae","gavia pacifica","pacific loon","657"
"004.2","gaviiformes","gaviidae","gavia immer","common loon","313"
"005.1","gaviiformes","gaviidae","gavia adamsii","yellow-billed loon","121"
"006.1","podicipediformes","podicipedidae","tachybaptus dominicus","least grebe","24"
"006.2","podicipediformes","podicipedidae","podilymbus    podiceps","pied-billed grebe","410"
"007.1","podicipediformes","podicipedidae","podiceps      auritus","horned      grebe","505"
"007.2","podicipediformes","podicipedidae","podiceps      grisegena","red-necked      grebe","465"
"008.1","podicipediformes","podicipedidae","podiceps      nigricollis","eared      grebe","433"
"008.2","podicipediformes","podicipedidae","aechmophorus occidentalis","western grebe","26"
"009.1","podicipediformes","podicipedidae","aechmophorus clarkii","clark's grebe","26"
"011.2","procellariiformes","diomedeidae","phoebastria immutabilis&nbsp;      genus on cover:&nbsp;      diomedea","laysan albatross","66"
"011.3","procellariiformes","diomedeidae","phoebastria nigripes&nbsp;      genus on cover:&nbsp; diomedea","black-footed albatross","65"
"012.2","procellariiformes","procellariidae","fulmarus    glacialis","northern fulmar","361"
"015.1","procellariiformes","procellariidae","pterodroma phaeopygia","dark-rumped petrel","345"
"015.3","procellariiformes","procellariidae","pterodroma    hypoleuca","bonin petrel","385"
"016.3","procellariiformes","procellariidae","bulweria bulwerii","bulwer's petrel","281"
"019.1","procellariiformes","procellariidae","puffinus pacificus","wedge-tailed shearwater","305"
"020.2","procellariiformes","procellariidae","puffinus nativitatis","christmas shearwater","561"
"020.3","procellariiformes","procellariidae","puffinus puffinus","manx shearwater","257"
"021.1","procellariiformes","procellariidae","puffinus auricularis","townsend's and newell's shearwater","297"
"021.2","procellariiformes","procellariidae","puffinus opisthomelas","black-vented      shearwater","521"
